0x96	0x217e98d1
0xe5	0x2bc31ca4
0x126	0x51c6590a
0x168	0x715018a6
0x17f	0x7565ce0c
0x196	0x8da5cb5b
0x1d7	0xad5c4648
0x218	0xf2fde38b
0x269	0xf8c587ac
0x1dda4	0xeeeeeeee
