0x1dd64	0x1dda4
0xb9	0x2aa
0x592	0x2aa
0x6d0	0x10cb
0x7d4	0x1115
0x872	0x1115
0x864	0x10cb
0x88d	0x10cb
0x20f64	0x17f
0x21964	0x196
0x22364	0x1d7
0x22d64	0x218
0x23764	0x269
0x1e764	0x96
0x1f164	0xe5
0x1fb64	0x126
0x20564	0x168
