0xb4	0x06fdde03	name()
0x144	0x095ea7b3	approve(address,uint256)
0x1a9	0x18160ddd	totalSupply()
0x1d4	0x23b872dd	transferFrom(address,address,uint256)
0x259	0x2ff2e9dc	INITIAL_SUPPLY()
0x284	0x313ce567	decimals()
0x2b5	0x70a08231	balanceOf(address)
0x30c	0x95d89b41	symbol()
0x39c	0xa9059cbb	transfer(address,uint256)
0x401	0xcae9ca51	approveAndCall(address,uint256,bytes)
0x4ac	0xdd62ed3e	allowance(address,address)
