0xaf	0x00000000
0xb4	0x6fdde03
0x144	0x95ea7b3
0x1a9	0x18160ddd
0x1d4	0x23b872dd
0x259	0x2ff2e9dc
0x284	0x313ce567
0x2b5	0x70a08231
0x30c	0x95d89b41
0x39c	0xa9059cbb
0x401	0xcae9ca51
0x4ac	0xdd62ed3e
