0x98	0x054f7d9c	frozen()
0xb4	0x06419fe5	setImplementation(string,address)
0x167	0x30b7be29	unsetImplementation(string)
0x20d	0x62a5af3b	freeze()
0x215	0x6b683896	getImplementation(string)
0x2d7	0x715018a6	renounceOwnership()
0x2df	0x8da5cb5b	owner()
0x2e7	0x8f32d59b	isOwner()
0x2ef	0xf2fde38b	transferOwnership(address)
