0x98	0x54f7d9c
0xb4	0x6419fe5
0x167	0x30b7be29
0x20d	0x62a5af3b
0x215	0x6b683896
0x2d7	0x715018a6
0x2df	0x8da5cb5b
0x2e7	0x8f32d59b
0x2ef	0xf2fde38b
0x11ec	0x00000000
