0x694	$TightlyPackedVariable($Constant(0x2), 0, 0)	$ConstantWrite(0x1)
0x789	$TightlyPackedVariable($Constant(0x0), 0, 19)	$ConstantWrite(0x0)
0x83aS0x305	$TightlyPackedVariable($Constant(0x0), 0, 19)	$VariableWrite(0x310)
