0x2264S0x23a8S0x5f3	0x2399V0x5f3	0x221fV0x23a8V0x5f3
0x2264S0x229dS0x24f8S0x2e7	0x24ffV0x2e7	0x221fV0x229dV0x24f8V0x2e7
0x2264S0x229dS0x24a2S0x43f	0x24a9V0x43f	0x221fV0x229dV0x24a2V0x43f
0x25c2B0x390	0xa18V0x38b	0x25b0V0x390
0x273aB0x250eB0x2569B0x1b72	0x1b5farg0x0	0x2596V0x1b72
0x273aB0x250eB0x25eaB0x4c84c	0x57bbbV0x26b	0x25f7V0x4c84c
0x273aB0x250eB0x25eaB0x4cb85	0xcc3V0x4b5	0x25f7V0x4cb85
0x273aB0x250eB0x25eaB0x4cc36	0x57e67V0x51d	0x25f7V0x4cc36
