0x0	__function_selector__
0xe0	PRESALES()
0xdb	()
0xdb	fallback()
0x135	name()
0x1c3	approve(address,uint256)
0x21d	totalSupply()
0x246	transferFrom(address,address,uint256)
0x2bf	ICO()
0x314	decimals()
0x343	BONUS()
0x398	balanceOf(address)
0x3e5	symbol()
0x473	transfer(address,uint256)
0x4cd	transfer(address,uint256,bytes)
0x56a	allowance(address,address)
0x5d6	PARTNER_SALES()
0x62b	FOUNDING_TEAM()
0x697	0x697
0x8c9	0x8c9
0xd6f	0xd6f
0xe17	0xe17
0x1021	0x1021
0x146c	0x146c
0x148a	0x148a
0x14a3	0x14a3
0x14b6	0x14b6
