0xd6d
0xdd9
0xe18
0xf0f
0x2d09
0x2d4f
0x2e3b
0x33d4
0x345a
0x34f4
0x3586
0x44ec
0x4633
0x474f
0x47d6
0x4830
0x4899
0x48c7
0x49b7
0x4b42
0x4bba
0x4e0c
0x52db
0x5494
0x54f4
0x5657
