0x0	__function_selector__
0x240	setTaxFeePercent(uint256)
0x269	name()
0x294	approve(address,uint256)
0x2d1	totalFees()
0x2fc	uniswapV2Router()
0x327	totalSupply()
0x352	transferFrom(address,address,uint256)
0x38f	tokenFromReflection(uint256)
0x3cc	decimals()
0x3f7	includeInReward(address)
0x420	increaseAllowance(address,uint256)
0x45d	_taxFee()
0x488	deliver(uint256)
0x4b1	excludeFromFee(address)
0x4da	reflectionFromToken(uint256,bool)
0x517	uniswapV2Pair()
0x542	swapAndLiquifyEnabled()
0x56d	excludeFromReward(address)
0x596	isExcludedFromFee(address)
0x5d3	_liquidityFee()
0x5fe	manualsend()
0x615	balanceOf(address)
0x652	renounceOwnership()
0x669	_maxTxAmount()
0x694	isExcludedFromReward(address)
0x6d1	owner()
0x6fc	setLiquidityFeePercent(uint256)
0x725	symbol()
0x750	decreaseAllowance(address,uint256)
0x78d	unlock()
0x7a4	transfer(address,uint256)
0x7e1	geUnlockTime()
0x80c	manualswap()
0x823	setSwapAndLiquifyEnabled(bool)
0x84c	setMaxTxPercent(uint256)
0x875	lock(uint256)
0x89e	allowance(address,address)
0x8db	includeInFee(address)
0x904	transferOwnership(address)
0x9cc	0x9cc
0xb8d	0xb8d
0xc12	0xc12
0x1285	0x1285
0x1650	0x1650
0x16c2	0x16c2
0x195c	0x195c
0x1a24	0x1a24
0x1d7f	0x1d7f
0x24a8	0x24a8
0x24b0	0x24b0
0x267b	0x267b
0x2a15	0x2a15
0x2a79	0x2a79
0x2aa4	0x2aa4
0x2aee	0x2aee
0x2b4c	0x2b4c
0x2ba8	0x2ba8
0x2bf2	0x2bf2
0x2ced	0x2ced
0x2f39	0x2f39
0x308a	0x308a
0x339b	0x339b
0x364e	0x364e
0x36b1	0x36b1
0x370b	0x370b
0x3794	0x3794
0x3884	0x3884
0x3d87	0x3d87
0x425b	0x425b
0x428c	0x428c
0x42bd	0x42bd
0x4462	0x4462
0x44a1	0x44a1
0x44ab	0x44ab
0x44c2	0x44c2
0x44d7	0x44d7
0x450f	0x450f
0x4520	0x4520
0x459d	0x459d
0x45bf	0x45bf
0x45df	0x45df
0x45f1	0x45f1
0x4608	0x4608
0x461d	0x461d
0x465d	0x465d
0x4678	0x4678
0x4693	0x4693
0x46a2	0x46a2
0x46bd	0x46bd
0x46c7	0x46c7
0x46e9	0x46e9
0x46fb	0x46fb
0x471c	0x471c
0x4737	0x4737
0x47a6	0x47a6
0x47c1	0x47c1
0x47ee	0x47ee
0x4805	0x4805
0x481a	0x481a
0x485a	0x485a
0x4869	0x4869
0x4884	0x4884
0x48b1	0x48b1
0x493d	0x493d
0x498c	0x498c
0x4a30	0x4a30
0x4a9c	0x4a9c
0x4b1a	0x4b1a
0x4b7d	0x4b7d
0x4c38	0x4c38
0x4ca4	0x4ca4
0x4d36	0x4d36
0x4da2	0x4da2
0x4dc2	0x4dc2
0x4e8a	0x4e8a
0x4f1c	0x4f1c
0x4fae	0x4fae
0x5040	0x5040
0x50d2	0x50d2
0x5164	0x5164
0x51f6	0x51f6
0x5262	0x5262
0x52b1	0x52b1
0x52c6	0x52c6
0x52fd	0x52fd
0x531f	0x531f
0x538e	0x538e
0x53ec	0x53ec
0x54cf	0x54cf
0x5572	0x5572
0x5592	0x5592
0x55c9	0x55c9
0x562a	0x562a
0x563f	0x563f
0x115e52	0xeeeeeeee
