0xb33	0x2a15	0	Regular
0x1aed	0x2a15	0	Regular
0x2ba8B0x10be	0x2a15	0	Regular
0x2ba8B0x1117	0x2a15	0	Regular
0x2ba8B0x2fe5	0x2a15	0	Regular
0x2ba8B0x300c	0x2a15	0	Regular
0x2ba8B0x34f5	0x2a15	0	Regular
0x2ba8B0x3587	0x2a15	0	Regular
0x2ba8B0x36cd	0x2a15	0	Regular
0x2ba8B0x36e8	0x2a15	0	Regular
0x2ba8B0x3752	0x2a15	0	Regular
0x2ba8B0x376d	0x2a15	0	Regular
0x2ba8B0x38d9	0x2a15	0	Regular
0x2ba8B0x3937	0x2a15	0	Regular
0x2ba8B0x4462	0x2a15	0	Regular
0x2ba8B0x3b39	0x2a15	0	Regular
0x2ba8B0x3d99	0x2a15	0	Regular
0x2ba8B0x3f64	0x2a15	0	Regular
0x2ba8B0x3fc2	0x2a15	0	Regular
