0x0	0xd
0x3f	0x4a
0xd	0x1e
0x2049	0x2053
0xec	0xf8
0x8a	0x96
0x64	0x70
0xc6	0xd2
0x159	0x165
0x133	0x13f
0xbc1	0xc30
0xd01	0xd38
0x7e0	0x7e5
0xab8	0xad4
0x1187	0x118c
0x16d2	0x16d7
0x171c	0x1753
0x178b	0x1791
0x17c5	0x17e1
0x181b	0x1851
0x1e19	0x1e1e
0x2aa0	0x2ab2
0x1e99	0x1ea0
0x1ec9	0x1edd
0x1fbd	0x1fc3
0x2008	0x2021
0x2044	0x2049
0x2079	0x2085
0x219e	0x21b2
0x2174	0x217d
0x21ba	0x21d8
0x2220	0x222e
0xf8	0x103
0x21f0	0x21f9
0x2ab8	0x2ac4
0x2fc7	0x2ff4
0x316d	0x3198
0x358d	0x3598
0x393b	0x3943
0x396c	0x3974
0x1a1	0x1a9
0x1de	0x1e6
0x209	0x211
0x246	0x24e
0x26f	0x277
0x298	0x2a0
0x2c3	0x2cb
0x2ec	0x2f4
0x317	0x31f
0x340	0x348
0x36b	0x373
0x394	0x39c
0x3bd	0x3c5
0x3fa	0x402
0x425	0x42d
0x462	0x46a
0x495	0x49d
0x4c0	0x4c8
0x4eb	0x4f3
0x516	0x51e
0x53f	0x547
0x56a	0x572
0x593	0x59b
0x5d0	0x5d8
0x5fb	0x603
0x638	0x640
0x29	0x34
0x2124	0x2130
0x1e	0x29
0x34	0x3f
0x4a	0x55
0x55	0x60
0x70	0x7b
0x7b	0x86
0x96	0xa1
0xa1	0xac
0xac	0xb7
0xb7	0xc2
0xd2	0xdd
0xdd	0xe8
0x103	0x10e
0x10e	0x119
0x119	0x124
0x124	0x12f
0x13f	0x14a
0x14a	0x155
0x165	0x170
0x170	0x17b
0x17b	0x186
0x186	0x191
0x191	0x19c
0x1ea0	0x1ea8
0x2444B0x247fB0x1f3	0x244dB0x247fB0x1f3
0x2429B0x247fB0x1f3	0x2432B0x247fB0x1f3
0x2444B0x247fB0x40f	0x244dB0x247fB0x40f
0x2429B0x247fB0x40f	0x2432B0x247fB0x40f
0x2444B0x247fB0x4d5	0x244dB0x247fB0x4d5
0x2429B0x247fB0x4d5	0x2432B0x247fB0x4d5
0x2444B0x247fB0x5ba	0x244dB0x247fB0x5ba
0x2429B0x247fB0x5ba	0x2432B0x247fB0x5ba
0x23a7B0x1ad	0x23b5B0x1ad
0x2384B0x2392B0x23bdB0x1ad	0x238bB0x2392B0x23bdB0x1ad
0x77eB0x1ea	0x785B0x1ea
0x7aeB0x1ea	0x7c2B0x1ea
0x785B0x1ea	0x78dB0x1ea
0xcacB0x406	0xcb3B0x406
0xcdcB0x406	0xcf0B0x406
0xcb3B0x406	0xcbbB0x406
0xddfB0x46e	0xdfbB0x46e
0x10f0B0x4cc	0x10f7B0x4cc
0x1120B0x4cc	0x1134B0x4cc
0x10f7B0x4cc	0x10ffB0x4cc
0x2444B0x3844B0x1fe6	0x244dB0x3844B0x1fe6
0x2429B0x3844B0x1fe6	0x2432B0x3844B0x1fe6
0x38c9B0x2021	0x38d7B0x2021
0x2384B0x38b4B0x38dfB0x2021	0x238bB0x38b4B0x38dfB0x2021
0x661B0x1c3	0x6caB0x1c3
0x72cB0x1c3	0x732B0x1c3
0x24fbB0x215	0x2509B0x215
