0x0	__function_selector__
0x279	pause(bool)
0x29a	setRewardMultiplier(uint256)
0x2b7	governor()
0x2db	lastWorkAt(address)
0x313	mechanicsRegistry()
0x31b	removeStrategy(address)
0x341	setStrategy(address,address[],uint256[])
0x413	age()
0x41b	sendDust(address,address,uint256)
0x451	work(address)
0x477	workForBond(address)
0x49d	setKeep3r(address)
0x4c3	setFastGasOracle(address)
0x4e9	paused()
0x505	workForTokens(address)
0x52b	keep3r()
0x53b	bond()
0x543	isMechanic(address)
0x569	strategyAmounts(address,uint256)
0x595	rewardMultiplier()
0x59d	setWorkCooldown(uint256)
0x5ba	oracle()
0x5c2	setV2Keep3r(address)
0x5e8	minBond()
0x5f0	strategyQueueList(address)
0x666	v2Keeper()
0x66e	fastGasOracle()
0x676	workable(address)
0x69c	ETH_ADDRESS()
0x6a4	WETH()
0x6ac	strategyQueue(address,uint256)
0x6d8	earned()
0x6e0	strategies()
0x6e8	forceWork(address)
0x70e	workCooldown()
0x716	pendingGovernor()
0x71e	isGovernor(address)
0x744	acceptGovernor()
0x74c	setKeep3rRequirements(address,uint256,uint256,uint256,bool)
0x78c	setMechanicsRegistry(address)
0x7b2	setPendingGovernor(address)
0x7d8	onlyEOA()
0x7e0	0x7e0
0xa9c	0xa9c
0xaf4	0xaf4
0xb07	0xb07
0xb6a	0xb6a
0xc79	0xc79
0xd00	0xd00
0xdca	0xdca
0xea5	0xea5
0xfbe	0xfbe
0x1034	0x1034
0x1182	0x1182
0x1196	0x1196
0x11ff	0x11ff
0x1254	0x1254
0x12a5	0x12a5
0x13d6	0x13d6
0x13f4	0x13f4
0x15f4	0x15f4
0x18d4	0x18d4
0x1b2a	0x1b2a
0x1be7	0x1be7
0x1c86	0x1c86
0x1c91	0x1c91
0x1c9c	0x1c9c
0x1ca8	0x1ca8
0x1eae	0x1eae
0x1f74	0x1f74
0x1f89	0x1f89
0x1f9e	0x1f9e
0x2071	0x2071
0x212e	0x212e
0x220d	0x220d
0x2231	0x2231
0x22a4	0x22a4
0x22ee	0x22ee
0x2306	0x2306
0x23b7	0x23b7
0x24e0	0x24e0
0x2522	0x2522
0x253b	0x253b
0x261f	0x261f
0x27db	0x27db
0x2841	0x2841
0x285f	0x285f
0x28be	0x28be
0x2901	0x2901
0x2916	0x2916
0x5a9e	()
0x5a9e	fallback()
0x31318	PRECISION()
0x3133f	MAX_REWARD_MULTIPLIER()
