0x0	0xc
0x1a	0x2b
0x1600	0x1607
0x165f	0x16a7
0x1728	0x178d
0x194f	0x1977
0x19dd	0x1a04
0x2787	0x27be
0x10	0x1a
0x151	0x15d
0xc3	0xcf
0x87	0x93
0x115	0x121
0x1ea	0x1f6
0x1ae	0x1ba
0x23c	0x248
0x357	0x37e
0x382	0x390
0x394	0x3b2
0x3b6	0x3d0
0x3d4	0x3e2
0x3e6	0x404
0xb07	0xb16
0xd00	0xd60
0xd96	0xdae
0xff9	0x1011
0x83d	0x843
0x84c	0x851
0xe5	0xf0
0x1390	0x139b
0x904	0x90a
0x913	0x918
0x94e	0x96c
0xa38	0xa3e
0xa47	0xa4c
0x13f4	0x1413
0x15f4	0x1600
0x1b2a	0x1b7b
0xbc4	0xbc9
0xc03	0xc12
0xd64	0xd6f
0xd78	0xd8a
0xe3e	0xe43
0x10db	0x10e1
0x10ea	0x10ef
0x1ca8	0x1cf20x1ca8
0x163d	0x1648
0x164d	0x1654
0x1659	0x165f
0x1717	0x1728
0x16ab	0x16b6
0x16bf	0x16d1
0x16d5	0x16dc
0x17f8	0x1869
0x1791	0x179c
0x17a5	0x17b7
0x17bb	0x17c2
0x186d	0x1878
0x1881	0x1893
0x1897	0x189e
0x1ff0	0x203c
0x18ef	0x18f4
0x1a6c	0x1a73
0x1991	0x19bb
0x212e	0x21360x212e
0x19d7	0x19dd
0x2187	0x218f
0x1a1f	0x1a42
0x1a43	0x1a5f
0x192e	0x194f
0x2040	0x204b
0x2054	0x2066
0x207e	0x2083
0x20b9	0x20c3
0x20eb	0x20f0
0x2b	0x36
0x2196	0x21d6
0x2411	0x2452
0x2456	0x2461
0x246a	0x247c
0x249c	0x24dc
0x257d	0x2586
0x277b	0x2787
0x2609	0x2614
0x279	0x28b
0x29a	0x2ac
0x2db	0x2ed
0x31b	0x32d
0x341	0x353
0x41b	0x42d
0x451	0x463
0x477	0x489
0x49d	0x4af
0x4c3	0x4d5
0x505	0x517
0x543	0x555
0x569	0x57b
0x59d	0x5af
0x5c2	0x5d4
0x5f0	0x602
0x676	0x688
0x6ac	0x6be
0x6e8	0x6fa
0x71e	0x730
0x74c	0x75e
0x78c	0x79e
0x7b2	0x7c4
0x1be7	0x1c3e
0x36	0x41
0xda	0xe5
0x41	0x4c
0x4c	0x57
0x57	0x62
0x62	0x6d
0x6d	0x78
0x78	0x83
0x93	0x9e
0x9e	0xa9
0xa9	0xb4
0xb4	0xbf
0xcf	0xda
0xf0	0xfb
0xfb	0x106
0x106	0x111
0x121	0x12c
0x12c	0x137
0x137	0x142
0x142	0x14d
0x15d	0x168
0x168	0x173
0x173	0x17e
0x17e	0x189
0x189	0x194
0x194	0x19f
0x19f	0x1aa
0x1ba	0x1c5
0x1c5	0x1d0
0x1d0	0x1db
0x1db	0x1e6
0x1f6	0x201
0x201	0x20c
0x20c	0x217
0x217	0x222
0x222	0x22d
