0x8d	0x1355c7b7
0xd1	0x1c005fda
0x13f	0x8224f93e
0x18d	0x9206d09f
0x245	0xc576355a
0x2bd	0xd42a925e
0x301	0xfdbc9820
0x36f	0xfde72a92
0x3332	0x00000000
