0x8d	0x1355c7b7	claimProxyFunds(address)
0xd1	0x1c005fda	coinJoin_join(address,address,uint256)
0x13f	0x8224f93e	exitCoin(address,uint256)
0x18d	0x9206d09f	claimProxyFunds(address[])
0x245	0xc576355a	decreaseSoldAmount(address,address,uint256,uint256)
0x2bd	0xd42a925e	exitAllCoin(address)
0x301	0xfdbc9820	settleAuction(address,address,uint256)
0x36f	0xfde72a92	startAndDecreaseSoldAmount(address,address,uint256)
