0xd9	0x1647795e
0x126	0x20606b70
0x140	0x2e340823
0x1b2	0x3408e470
0x1ba	0x3644e515
0x1c2	0x3c641910
0x1df	0x416f281d
0x1e7	0x5e68e11f
0x21a	0x796f077b
0x222	0xacb8cc49
0x22a	0xe6376ed5
0x2d9	0xf973a209
0x28fa	0x00000000
