0x4a	0x52
0x54	0x87
0x4e08	0x6208
0x5808	0x6c08
0xa4V0x52	0xbcB0x52
0xdeV0x52	0xe3B0x52
0x13eV0x52	0x143B0x52
0x19eV0x52	0x1a3B0x52
0x12d4V0x52	0x263B0x52
0x29bV0x52	0x2a3B0x52
0x268V0x52	0x27eB0x52
0x2aaV0x52	0x2b7B0x52
0x2d3V0x52	0x2ebB0x52
0x30dV0x52	0x312B0x52
0x26d4V0x52	0x3d2B0x52
0x40aV0x52	0x412B0x52
0x3d7V0x52	0x3edB0x52
0x419V0x52	0x426B0x52
0x8d4V0x52	0xbcB0x52
0x27aV0x52	0x263B0x52
0x1cd4V0x52	0x2ebB0x52
0x3e9V0x52	0x3d2B0x52
