0x9e	0x00000000
0xa3	0x452a9320
0xda	0x4d12fca4
0x101	0x6503ed2a
0x10b	0x715018a6
0x113	0x7ac59bc0
0x12e	0x8da5cb5b
0x13f	0xa70ea0f7
0x147	0xb86677fe
0x162	0xd33219b4
0x189	0xf2fde38b
