0x0	0xd
0x3f	0x4a
0xd	0x1e
0x102	0x10e
0x95	0xa1
0x64	0x70
0xd1	0xdd
0x17a	0x186
0x149	0x155
0x1b6	0x1c1
0x77c	0x78f
0xa82	0xa95
0xef6	0xf09
0xf8f	0xfa2
0xfcd	0xfdf
0x10a4	0x10b7
0x129d	0x12b1
0x15b0	0x15bf
0x15fa	0x1607
0x21f8	0x2207
0x7a6	0x7ba
0x7cd	0x7d4
0x27ab	0x27b7
0x835	0x846
0x18e4	0x18ec
0x29	0x34
0x10ce	0x10d7
0x12c4	0x12cb
0x130e	0x1325
0x1363	0x136d
0x13b9	0x13c1
0x27d7	0x27ea
0x1426	0x1437
0x15c6	0x15d7
0x2839	0x2847
0x188b	0x1892
0x18bb	0x18cf
0x1932	0x1946
0x28a1	0x28ae
0x27c3	0x27cb
0x190c	0x1913
0x194d	0x196b
0x27f6	0x2801
0x28bc	0x28c4
0x19a4	0x19b2
0x197b	0x1982
0x1dca	0x1de0
0x1de4	0x1df2
0x1e14	0x1e19
0x1ec1	0x1eda
0x1f35	0x1f4b
0x1f4f	0x1f5d
0x1f7f	0x1f84
0x1f8b	0x1fa4
0x284d	0x2859
0x1e7	0x1ef
0x21a	0x222
0x24a	0x252
0x26c	0x274
0x28e	0x296
0x2ae	0x2b6
0x2ce	0x2d6
0x2e4	0x2ec
0x305	0x30d
0x325	0x32d
0x352	0x35a
0x367	0x36f
0x37c	0x384
0x39d	0x3a5
0x3bd	0x3c5
0x3da	0x3e2
0x402	0x40a
0x422	0x42a
0x437	0x43f
0x44d	0x455
0x46d	0x475
0x48d	0x495
0x4a2	0x4aa
0x4cc	0x4d4
0x4ec	0x4f4
0x50c	0x514
0x52c	0x534
0x575	0x57d
0x595	0x59d
0x5b5	0x5bd
0x34	0x3f
0x1d3b	0x1d6e
0x1d86	0x1d97
0x1ef1	0x1f02
0x1e	0x29
0x4a	0x55
0x55	0x60
0x70	0x7b
0x7b	0x86
0x86	0x91
0xa1	0xac
0xac	0xb7
0xb7	0xc2
0xc2	0xcd
0xdd	0xe8
0xe8	0xf3
0xf3	0xfe
0x10e	0x119
0x119	0x124
0x124	0x12f
0x12f	0x13a
0x13a	0x145
0x155	0x160
0x160	0x16b
0x16b	0x176
0x186	0x191
0x191	0x19c
0x19c	0x1a7
0x1a7	0x1b2
0x1c1	0x1cc
0x1cc	0x1d7
0x1d7	0x16d3e4
0x1892	0x189a
0x1e350x1d86	0x1e3b0x1d86
0x1e350x1ef1	0x1e3b0x1ef1
0x1e200x1d86	0x1e2d0x1d86
0x1e200x1ef1	0x1e2d0x1ef1
0x5cc0x1e7	0x5dd0x1e7
0x2928B0x1e19	0x2934B0x1e19
0x2928B0x1f84	0x2934B0x1f84
0x24bcB0x2ba	0x24caB0x2ba
0x24bcB0x3a9	0x24caB0x3a9
0x24bcB0x40e	0x24caB0x40e
0x24bcB0x479	0x24caB0x479
0x24bcB0x4f8	0x24caB0x4f8
0x24bcB0x518	0x24caB0x518
0x1744B0x817	0x1753B0x817
0x2828B0x2555	0x2831B0x2555
0x2810B0x2555	0x2819B0x2555
0x1744B0x1408	0x1753B0x1408
0x20b2B0x220b	0x20c5B0x220b
0x20b2B0x2214	0x20c5B0x2214
