0x0	__function_selector__
0x138	name()
0x1b5	approve(address,uint256)
0x1f5	totalSupply()
0x20f	transferFrom(address,address,uint256)
0x245	decimals()
0x263	cap()
0x26b	increaseAllowance(address,uint256)
0x297	mint(address,uint256)
0x2c3	burn(uint256)
0x2e2	balanceOf(address)
0x308	burnFrom(address,uint256)
0x334	symbol()
0x33c	addMinter(address)
0x362	renounceMinter()
0x36a	decreaseAllowance(address,uint256)
0x396	transfer(address,uint256)
0x3c2	isMinter(address)
0x3e8	allowance(address,address)
0x416	0x416
0x4c2	0x4c2
0x58a	0x58a
0x5b2	0x5b2
0x5c0	0x5c0
0x621	0x621
0x63e	0x63e
0x692	0x692
0x6d6	0x6d6
0x762	0x762
0x82f	0x82f
0x844	0x844
0x85d	0x85d
0x88d	0x88d
0x936	0x936
0xa0b	0xa0b
0x174c	()
0x174c	fallback()
