0x19dc
0x1d38
0x1d5b
0x1d76
0x1d98
0x9dfS0x34a
0x20f0S0x1ce9
0x2107S0x1ce9
0x20f0S0x1d2c
0x2107S0x1d2c
0x20f0S0x1cfb
0x2107S0x1cfb
0x20f0S0x1d0f
0x2107S0x1d0f
0x20f0S0x1d4b
0x2107S0x1d4b
0x20f0S0x1d6e
0x2107S0x1d6e
