0x1c9	0x6fdde03
0x24c	0x95ea7b3
0x2b0	0x18160ddd
0x2ce	0x201d4411
0x328	0x23b872dd
0x3ac	0x313ce567
0x3cd	0x37f9cd5a
0x3eb	0x39509351
0x44f	0x3f4ba83a
0x459	0x42966c68
0x487	0x4383ea6d
0x53d	0x59d9d38b
0x55b	0x5c975abb
0x57b	0x665a11ca
0x5af	0x70a08231
0x607	0x7870bf26
0x625	0x79cc6790
0x673	0x85f2aef2
0x6a7	0x8be8ef91
0x6c5	0x95d89b41
0x748	0xa457c2d7
0x7ac	0xa9059cbb
0x810	0xbdd3d825
0x844	0xc74c0fac
0x878	0xd2f131f6
0x896	0xd3565934
0x8b4	0xdd62ed3e
0x92c	0xf68f210b
0x45a4	0x00000000
