0xcc5	0xcd6
0xcd9	0xcd9
0xd89	0xd89
0xe11	0xe6e
0x1075	0x1075
0x1122	0x11a0
0x11aa	0x11aa
0x11b2	0x12be
0x13a9	0x1732
0x1737	0x17e4
0x18ea	0x1a3e
0x1d45	0x1d87
0x960	0x28330
0x960	0x28359
0xe9f	0x28382
0xe9f	0x283ab
0x283d4	0x283d4
0x2841d	0x2841d
0x28441	0x28441
0x960	0x28465
0xe9f	0x2848e
0x1b34	0x1b760x1b34
0x1aae	0x283f80x1aae
0x1aae	0x284b70x1aae
