0x0	0xd
0x60	0x6b
0x3f	0x4a
0xd	0x1e
0x1257	0x1263
0x21a1	0x21b0
0x2246	0x2285
0x27e4	0x27f3
0x288e	0x2899
0x12e	0x13a
0xab	0xb7
0x6f	0x7b
0xf2	0xfe
0x1bc	0x1c8
0x180	0x18c
0x203	0x20f
0x241	0x254
0x258	0x28e
0x292	0x2a0
0x2a4	0x2c2
0xbb1	0xbe1
0x31b	0x32e
0x40a	0x41d
0xc6d	0xc8d
0x43d	0x450
0xcfb	0xd28
0x471	0x484
0x4b8	0x4cb
0x56c	0x57f
0x5a0	0x5b3
0x661	0x674
0xfd9	0x100a
0x6a8	0x6ee
0x6f2	0x700
0x704	0x722
0x1078	0x109b
0x73d	0x750
0x770	0x783
0x79a	0x7ad
0x7f2	0x805
0x16cc	0x16e0
0x858	0x86b
0x88c	0x89f
0x8cf	0x8e2
0x91e	0x931
0x951	0x964
0x994	0x9a7
0x1bdc	0x1c0d
0x9f1	0xa04
0x1cbf	0x1ced
0xa57	0xa6a
0xacb	0xade
0xaff	0xb12
0xb32	0xb45
0x20e8	0x210e
0x260b	0x2614
0xd5a	0xd5f
0xd63	0xd80
0xd97	0xd9c
0xf86	0xf8b
0x100e	0x103b
0x104e	0x1053
0x10ab	0x10b2
0x10b9	0x10c0
0x10cd	0x10d4
0x10d9	0x10de
0x10e2	0x10f2
0x1100	0x113b
0x11b1	0x11b7
0x26f0	0x26fa
0x11b8	0x11e9
0x11fe	0x1203
0x1207	0x121b
0x1228	0x122e
0x14f0	0x1501
0x1264	0x1292
0x1296	0x12c4
0x12d7	0x12de
0x12f8	0x12fd
0x1301	0x1326
0x137e	0x13a3
0x13fd	0x1418
0x1437	0x1452
0x124e	0x1257
0x16e9	0x16ef
0x1c31	0x1c4b
0x2e05	0x2e61
0x1dcd	0x1dde
0x2e69	0x2e7d
0x2f31	0x2f3d
0x20d5	0x20e4
0x212f	0x2134
0x2138	0x217e
0x24fa	0x2514
0x21b1	0x21d7
0x2201	0x2207
0x2220	0x2246
0x23ed	0x23f4
0x22df	0x2304
0x235c	0x2377
0x2396	0x23b1
0x2404	0x240a
0x24d3	0x24e7
0x2194	0x21a1
0x25d6	0x25e2
0x25e6	0x25ed
0x2660	0x268a
0x26b0	0x26ba
0x26fe	0x2708
0x27bd	0x27c4
0x27cb	0x27d0
0x287e	0x288e
0x27f4	0x2819
0x283e	0x2844
0x2855	0x286d
0x27d7	0x27e4
0x2f41	0x2f5d
0x2f60	0x2f6d
0x2f75	0x2f7a
0x2f7e	0x2fcf
0x235	0x23d
0x2e3	0x2eb
0x30f	0x317
0x375	0x37d
0x38a	0x392
0x3b8	0x3c0
0x3e9	0x3f1
0x3fe	0x406
0x431	0x439
0x465	0x46d
0x4ac	0x4b4
0x4ef	0x4f7
0x520	0x528
0x560	0x568
0x594	0x59c
0x640	0x648
0x655	0x65d
0x692	0x6a4
0x731	0x739
0x764	0x76c
0x78e	0x796
0x7d1	0x7d9
0x7e6	0x7ee
0x823	0x82b
0x84c	0x854
0x880	0x888
0x8c3	0x8cb
0x912	0x91a
0x945	0x94d
0x988	0x990
0x9bb	0x9c3
0x9d0	0x9d8
0x9e5	0x9ed
0xa4b	0xa53
0xa7f	0xa87
0xa94	0xa9c
0xabf	0xac7
0xaf3	0xafb
0xb26	0xb2e
0x277b	0x27aa
0x34d8	0x34eb
0x34ba	0x34cc0x34ba
0x34f0	0x3503
0x350a	0x3518
0x351c	0x3527
0x1e	0x29
0x29	0x34
0x34	0x3f
0x4a	0x55
0x55	0x60
0x7b	0x86
0x86	0x91
0x91	0x9c
0x9c	0xa7
0xb7	0xc2
0xc2	0xcd
0xcd	0xd8
0xd8	0xe3
0xe3	0xee
0xfe	0x109
0x109	0x114
0x114	0x11f
0x11f	0x12a
0x13a	0x145
0x145	0x150
0x150	0x15b
0x15b	0x166
0x166	0x171
0x171	0x17c
0x18c	0x197
0x197	0x1a2
0x1a2	0x1ad
0x1ad	0x1b8
0x1c8	0x1d3
0x1d3	0x1de
0x1de	0x1e9
0x1e9	0x1f4
0x1f4	0x1ff
0x20f	0x21a
0x21a	0x225
0x225	0x230
0x21d7	0x21ea
0x2514	0x2519
0x2819	0x282c
0xe3cB0x4cf	0xe4dB0x4cf
0xe51B0x4cf	0xe80B0x4cf
0xe93B0x4cf	0xe98B0x4cf
0x15bbB0x787	0x15d1B0x787
0x15e1B0x787	0x15e6B0x787
0x161cB0x787	0x1638B0x787
0x167fB0x7b1	0x1690B0x7b1
0x169eB0x7b1	0x16adB0x7b1
0x1745B0x86f	0x1754B0x86f
0x1765B0x8a3	0x1776B0x8a3
0x2c6fB0x1b8c	0x2c8aB0x1b8c
0x2afaB0x1b8c	0x2b0cB0x1b8c
0x2badB0x1b8c	0x2bc4B0x1b8c
0x2b48B0x1b8c	0x2b51B0x1b8c
0x2c18B0x1b8c	0x2c2cB0x1b8c
0x2c04B0x1b8c	0x2c0bB0x1b8c
0x2c30B0x1b8c	0x2c4fB0x1b8c
0x2c68B0x1b8c	0x2c6fB0x1b8c
0x2d08B0x1b8c	0x2d11B0x1b8c
0x2d50B0x1b8c	0x2d59B0x1b8c
0x2bc4B0x1b8c	0x2bcbB0x1b8c
0x1d27B0xa6e	0x1d56B0xa6e
0x1d69B0xa6e	0x1d6eB0xa6e
0x2fedB0x2214	0x3041B0x2214
0x3052B0x2214	0x3095B0x2214
0x30b6B0x2214	0x3124B0x2214
0x3128B0x2214	0x3133B0x2214
0x313cB0x2214	0x314eB0x2214
0x3152B0x2214	0x3168B0x2214
0x31deB0x2214	0x31e9B0x2214
0x31f2B0x2214	0x3204B0x2214
0x3349B0x2214	0x33b2B0x2214
0x3298B0x2214	0x32a3B0x2214
0x32acB0x2214	0x32beB0x2214
0x32c2B0x2214	0x32e0B0x2214
0x32e6B0x2214	0x32f7B0x2214
0x331eB0x2214	0x3335B0x2214
0x321cB0x2214	0x3225B0x2214
0x33b6B0x2214	0x33c1B0x2214
0x33caB0x2214	0x33dcB0x2214
0x33e0B0x2214	0x33eeB0x2214
0x33faB0x2214	0x3400B0x2214
0x3168B0x2214	0x31daB0x2214
0x3225B0x2214	0x3294B0x2214
