0xdb9
0xdc4
0xdcd
0x1e02
0x1f1e
0x201e
0x2041
0x2f8b
0x2b80S0x1b8c
0x2b54S0x1b8c
0x3359S0x2214
0x3369S0x2214
0x3177S0x2214
0x3187S0x2214
0x3191S0x2214
0x3234S0x2214
0x3244S0x2214
0x324bS0x2214
0x3359S0x2849
0x3369S0x2849
0x3177S0x2849
0x3187S0x2849
0x3191S0x2849
0x3234S0x2849
0x3244S0x2849
0x324bS0x2849
0x191cS0x935
0x1921S0x935
0x1ac5S0x935
0x1acaS0x935
0x347cS0x2a0aS0x935
0x348cS0x2a0aS0x935
0x348cS0x2a72S0x935
0x353aS0x2a23S0x18aaS0x935
0x3541S0x2a23S0x18aaS0x935
0x3548S0x2a23S0x18aaS0x935
0x347cS0x2a2bS0x18aaS0x935
0x348cS0x2a2bS0x18aaS0x935
0x355dS0x1917S0x935
0x356dS0x1917S0x935
0x357dS0x1917S0x935
0x358dS0x1917S0x935
0x359dS0x1917S0x935
0x35adS0x1917S0x935
0x35b4S0x1917S0x935
0x35bbS0x1917S0x935
0x35c2S0x1917S0x935
0x35c9S0x1917S0x935
0x35d0S0x1917S0x935
0x35d7S0x1917S0x935
0x348cS0x2a49S0x1917S0x935
0x35f3S0x1ac0S0x935
0x35feS0x1ac0S0x935
0x3605S0x1ac0S0x935
0x360cS0x1ac0S0x935
0x348cS0x2abeS0x1ac0S0x935
0x353aS0x2a8dS0x1a55S0x935
0x3541S0x2a8dS0x1a55S0x935
0x3548S0x2a8dS0x1a55S0x935
