0x18d5	0x1a35
0x1aa0	0x25f3
0x1aa0	0x2688
0x1aa0	0x271d
0x2517	0x288e
0x2517	0x2b6a
0x145	0x5ca
0x1ef	0x77b
0x280	0x97b
0x2a9	0xaa4
0x2d2	0xb82
0x375	0xcfb
0x375	0xd53
0x45c	0xf8f
0x4db	0x1257S0x4e7
0x4db	0x1455S0x4e7
0x4db	0x153bS0x4e7
0x4db	0x1556S0x4e7
0x4f2	0x173f
