0x145	0x1339c21
0x15c	0x6fdde03
0x187	0x95ea7b3
0x1c4	0x18160ddd
0x1ef	0x228e7a91
0x218	0x23b872dd
0x255	0x313ce567
0x280	0x34052789
0x2a9	0x3908cfd2
0x2d2	0x62caa704
0x2fb	0x700542ec
0x338	0x70a08231
0x375	0x8705fcd4
0x39e	0x8b7afe2e
0x3c9	0x8da5cb5b
0x3f4	0x95d89b41
0x41f	0xa9059cbb
0x45c	0xaf74ff5b
0x487	0xdb2e21bc
0x49e	0xdd62ed3e
0x4db	0xe8078d94
0x4f2	0xf2fde38b
0xf9fac	0xeeeeeeee
