0x0	__function_selector__
0x145	launch()
0x15c	name()
0x187	approve(address,uint256)
0x1c4	totalSupply()
0x1ef	manualBan(address)
0x218	transferFrom(address,address,uint256)
0x255	decimals()
0x280	setTxLimitMax(uint256)
0x2a9	removeBan(address)
0x2d2	assignAntiBot(address)
0x2fb	checkIfBanned(address)
0x338	balanceOf(address)
0x375	setFeeAddress(address)
0x39e	contractBalance()
0x3c9	owner()
0x3f4	symbol()
0x41f	transfer(address,uint256)
0x45c	toggleAntiBot()
0x487	emergencyWithdraw()
0x49e	allowance(address,address)
0x4db	addLiquidity()
0x4f2	transferOwnership(address)
0x5cd	0x5cd
0xbdd	0xbdd
0xdf5	0xdf5
0xe1e	0xe1e
0xfa5	0xfa5
0x1119	0x1119
0x17be	0x17be
0x1839	0x1839
0x1883	0x1883
0x18cd	0x18cd
0x18d5	0x18d5
0x1aa0	0x1aa0
0x20ef	0x20ef
0x2153	0x2153
0x21b6	0x21b6
0x226b	0x226b
0x2395	0x2395
0x24a0	0x24a0
0x2517	0x2517
0x278a	0x278a
0x27e8	0x27e8
0x2b6e	0x2b6e
0x2ca8	0x2ca8
0x2cbd	0x2cbd
0x2cd2	0x2cd2
0x2ce7	0x2ce7
0x2cfc	0x2cfc
0x2d11	0x2d11
0x2d26	0x2d26
0x2d4f	0x2d4f
0x2d78	0x2d78
0x2da1	0x2da1
0x2ddd	0x2ddd
0x2e2c	0x2e2c
0x2e68	0x2e68
0x2e91	0x2e91
0x2eba	0x2eba
0x2f30	0x2f30
0x2f3f	0x2f3f
0x2fac	0x2fac
0x31bb	0x31bb
0x31d9	0x31d9
0x31f4	0x31f4
0x321d	0x321d
0x3254	0x3254
0x327d	0x327d
0x32de	0x32de
0x32f9	0x32f9
0x331b	0x331b
0x333b	0x333b
0x335b	0x335b
0x337b	0x337b
0x339b	0x339b
0x33bb	0x33bb
0x33db	0x33db
0x33fb	0x33fb
0x341b	0x341b
0x343b	0x343b
0x345b	0x345b
0x347b	0x347b
0x349b	0x349b
0x34bb	0x34bb
0x34d6	0x34d6
0x3530	0x3530
0x358f	0x358f
0x35f6	0x35f6
0x36b5	0x36b5
0x36c7	0x36c7
0x36d9	0x36d9
0x36e5	0x36e5
0x3705	0x3705
0x371c	0x371c
0x372e	0x372e
0x3761	0x3761
0x3b76	0x3b76
0x3b8d	0x3b8d
0x3ba4	0x3ba4
0x3bbb	0x3bbb
0xf9fac	0xeeeeeeee
