0x100	0xfc0c546a	token()
0x8d	0x313ce567	decimals()
0xab	0xb6b55f25	deposit(uint256)
0xc0	0xd4c3eea0	totalValue()
0xc8	0xf3fef3a3	withdraw(address,uint256)
0xdb	0xf851a440	admin()
0xf0	0xf926197e	updateApproval()
0xf8	0xfbfa77cf	vault()
