0x0	__function_selector__
0xfb	()
0xfb	fallback()
0x100	name()
0x18a	approve(address,uint256)
0x1c0	totalSupply()
0x1e5	transferFrom(address,address,uint256)
0x20d	decimals()
0x236	burn(uint256)
0x24e	tokenSaleContract()
0x27d	decreaseApproval(address,uint256)
0x29f	balanceOf(address)
0x2be	owner()
0x2d1	isTokenTransferable()
0x2e4	symbol()
0x2f7	transfer(address,uint256)
0x319	increaseApproval(address,uint256)
0x33b	toggleTransferable(bool)
0x353	emergencyERC20Drain(address,uint256)
0x375	allowance(address,address)
0x39a	transferOwnership(address)
0x462	0x462
0x6c4	0x6c4
0xbfe	0xbfe
0xd22	0xd22
