0x0	__function_selector__
0xb9	name()
0xd7	approve(address,uint256)
0x107	totalSupply()
0x125	transferFrom(address,address,uint256)
0x155	INITIAL_SUPPLY()
0x173	decimals()
0x191	increaseAllowance(address,uint256)
0x1c1	balanceOf(address)
0x1f1	symbol()
0x20f	decreaseAllowance(address,uint256)
0x23f	transfer(address,uint256)
0x26f	allowance(address,address)
0x29f	0x29f
0x554	0x554
0x776	0x776
0x77e	0x77e
0x949	0x949
0xbca	0xbca
0xbcf	0xbcf
0xbd4	0xbd4
0xbe9	0xbe9
0xbfe	0xbfe
0xc27	0xc27
0xc63	0xc63
0xcb2	0xcb2
0x101e	0x101e
0x1039	0x1039
0x105b	0x105b
0x107b	0x107b
0x109b	0x109b
0x10bb	0x10bb
0x10db	0x10db
0x10fb	0x10fb
0x111b	0x111b
0x113b	0x113b
0x1156	0x1156
0x117c	0x117c
0x118d	0x118d
0x11e3	0x11e3
0x1221	0x1221
0x1238	0x1238
0x126b	0x126b
0x130c	0x130c
0x1323	0x1323
0x26ca	()
0x26ca	fallback()
