0x0	[0x0, nil]
0x40	[0x40, nil]
0x4	[0x4, nil]
0x8	[0x8, nil]
0x1f	[0x1f, nil]
0x2	[0x2, nil]
0x5	[0x5, nil]
0x7	[0x7, nil]
0xb	[0xb, nil]
0x11	[0x11, nil]
0x13	[0x13, nil]
0x14	[0x14, nil]
0x18	[0x18, nil]
0x1a	[0x1a, nil]
0x1b	[0x1b, nil]
0x1d	[0x1d, nil]
0x24	[0x24, nil]
0x29	[0x29, nil]
0x2e	[0x2e, nil]
0x33	[0x33, nil]
0x38	[0x38, nil]
0x3a	[0x3a, nil]
0x3d	[0x3d, nil]
0x3e	[0x3e, nil]
0x42	[0x42, nil]
0x46	[0x46, nil]
0x4a	[0x4a, nil]
0x50	[0x50, nil]
0x52	[0x52, nil]
0x56	[0x56, nil]
0x58	[0x58, nil]
0x59	[0x59, nil]
0x5d	[0x5d, nil]
0x61	[0x61, nil]
0x63	[0x63, nil]
0x66	[0x66, nil]
0x6b	[0x6b, nil]
0x74	[0x74, nil]
0x76	[0x76, nil]
0x276	[0x15, nil]
0xc76	[0x25, nil]
0x1676	[0x2f, nil]
0x2096	[0x32, nil]
0x2a96	[0x37, nil]
0x3496	[0x4f, nil]
0xc0S0x55	[0x5f, [0xc0, nil]]
0xc2S0x55	[0x5f, [0xc2, nil]]
0xc5S0x55	[0x5f, [0xc5, nil]]
0xc8S0x55	[0x5f, [0xc8, nil]]
0xcaS0x55	[0x5f, [0xca, nil]]
0xcdS0x55	[0x5f, [0xcd, nil]]
0xcfS0x55	[0x5f, [0xcf, nil]]
0xb3S0x55	[0x5f, [0xb3, nil]]
0xb6S0x55	[0x5f, [0xb6, nil]]
0xd9S0xb2S0x55	[0x5f, [0xb8, [0xd9, nil]]]
0x99S0x37	[0x48, [0x99, nil]]
0x8dS0x37	[0x48, [0x8d, nil]]
0x8fS0x37	[0x48, [0x8f, nil]]
0x93S0x37	[0x48, [0x93, nil]]
0x94S0x37	[0x48, [0x94, nil]]
0x95S0x37	[0x48, [0x95, nil]]
0x96S0x37	[0x48, [0x96, nil]]
0x9eS0x37	[0x48, [0x9e, nil]]
0xa0S0x37	[0x48, [0xa0, nil]]
0xa5S0x37	[0x48, [0xa5, nil]]
0xa6S0x37	[0x48, [0xa6, nil]]
0x7aS0x9dS0x37	[0x48, [0xa8, [0x7a, nil]]]
0x7dS0x9dS0x37	[0x48, [0xa8, [0x7d, nil]]]
0x80S0x9dS0x37	[0x48, [0xa8, [0x80, nil]]]
0x83S0x9dS0x37	[0x48, [0xa8, [0x83, nil]]]
0xefS0x79S0x9dS0x37	[0x48, [0xa8, [0x85, [0xef, nil]]]]
0xe3S0x79S0x9dS0x37	[0x48, [0xa8, [0x85, [0xe3, nil]]]]
0xe6S0x79S0x9dS0x37	[0x48, [0xa8, [0x85, [0xe6, nil]]]]
0xebS0x79S0x9dS0x37	[0x48, [0xa8, [0x85, [0xeb, nil]]]]
0xecS0x79S0x9dS0x37	[0x48, [0xa8, [0x85, [0xec, nil]]]]
0xd9S0xe2S0x79S0x9dS0x37	[0x48, [0xa8, [0x85, [0xe8, [0xd9, nil]]]]]
0x48	[0x48, nil]
0x5f	[0x5f, nil]
0x20b6	[0x32, nil]
0x2ab6	[0x37, nil]
0x34b6	[0x4f, nil]
0x4c	[0x4c, nil]
0x54	[0x54, nil]
0x72	[0x72, nil]
0x78	[0x78, nil]
0xa	[0xa, nil]
0x296	[0x15, nil]
0xc96	[0x25, nil]
0x1696	[0x2f, nil]
0x4e	[0x4e, nil]
0x68	[0x68, nil]
0xe	[0xe, nil]
0x36	[0x36, nil]
0x6f	[0x6f, nil]
0xd1S0x55	[0x5f, [0xd1, nil]]
0xbeS0x55	[0x5f, [0xbe, nil]]
0xbbS0x55	[0x5f, [0xbb, nil]]
0xd7S0x55	[0x5f, [0xd7, nil]]
0xb8S0x55	[0x5f, [0xb8, nil]]
0xe1S0xb2S0x55	[0x5f, [0xb8, [0xe1, nil]]]
0x9cS0x37	[0x48, [0x9c, nil]]
0x98S0x37	[0x48, [0x98, nil]]
0xa8S0x37	[0x48, [0xa8, nil]]
0xb1S0x37	[0x48, [0xb1, nil]]
0x8bS0x9dS0x37	[0x48, [0xa8, [0x8b, nil]]]
0x85S0x9dS0x37	[0x48, [0xa8, [0x85, nil]]]
0xf2S0x79S0x9dS0x37	[0x48, [0xa8, [0x85, [0xf2, nil]]]]
0xe8S0x79S0x9dS0x37	[0x48, [0xa8, [0x85, [0xe8, nil]]]]
0xeeS0x79S0x9dS0x37	[0x48, [0xa8, [0x85, [0xee, nil]]]]
0xf5S0x79S0x9dS0x37	[0x48, [0xa8, [0x85, [0xf5, nil]]]]
0xe1S0xe2S0x79S0x9dS0x37	[0x48, [0xa8, [0x85, [0xe8, [0xe1, nil]]]]]
