0x0	[0x0, nil]
0x40	[0x40, nil]
0x4	[0x4, nil]
0x8	[0x8, nil]
0x60	[0x60, nil]
0x2	[0x2, nil]
0x5	[0x5, nil]
0x7	[0x7, nil]
0xb	[0xb, nil]
0x11	[0x11, nil]
0x13	[0x13, nil]
0x14	[0x14, nil]
0x18	[0x18, nil]
0x36	[0x36, nil]
0x38	[0x38, nil]
0x39	[0x39, nil]
0x3a	[0x3a, nil]
0x45	[0x45, nil]
0x4a	[0x4a, nil]
0x4c	[0x4c, nil]
0x50	[0x50, nil]
0x53	[0x53, nil]
0x54	[0x54, nil]
0x5a	[0x5a, nil]
0x5d	[0x5d, nil]
0x67	[0x67, nil]
0x6a	[0x6a, nil]
0x6f	[0x6f, nil]
0x74	[0x74, nil]
0x75	[0x75, nil]
0x76	[0x76, nil]
0x7b	[0x7b, nil]
0x7c	[0x7c, nil]
0x7f	[0x7f, nil]
0x81	[0x81, nil]
0x83	[0x83, nil]
0x84	[0x84, nil]
0x90	[0x90, nil]
0x92	[0x92, nil]
0x94	[0x94, nil]
0x96	[0x96, nil]
0x97	[0x97, nil]
0x9c	[0x9c, nil]
0x9e	[0x9e, nil]
0x9f	[0x9f, nil]
0xa2	[0xa2, nil]
0xa4	[0xa4, nil]
0xa5	[0xa5, nil]
0xa8	[0xa8, nil]
0xa9	[0xa9, nil]
0xaa	[0xaa, nil]
0xab	[0xab, nil]
0xae	[0xae, nil]
0xb0	[0xb0, nil]
0xb9	[0xb9, nil]
0xbb	[0xbb, nil]
0xbe	[0xbe, nil]
0xc2	[0xc2, nil]
0xc5	[0xc5, nil]
0xc8	[0xc8, nil]
0xcc	[0xcc, nil]
0xd0	[0xd0, nil]
0xf1	[0xf1, nil]
0xf4	[0xf4, nil]
0x250	[0x71, nil]
0xc50	[0xb3, nil]
0x1900	[0x15, nil]
0x2300	[0x41, nil]
0x2d20	[0x44, nil]
0x3720	[0x49, nil]
0x2d40	[0x44, nil]
0x3740	[0x49, nil]
0x4e	[0x4e, nil]
0x86	[0x86, nil]
0xf7	[0xf7, nil]
0x270	[0x71, nil]
0xc70	[0xb3, nil]
0xa	[0xa, nil]
0x78	[0x78, nil]
0x99	[0x99, nil]
0x1920	[0x15, nil]
0x2320	[0x41, nil]
0xc0	[0xc0, nil]
0xe	[0xe, nil]
0x48	[0x48, nil]
0x58	[0x58, nil]
0x5e	[0x5e, nil]
0x80	[0x80, nil]
0xad	[0xad, nil]
0xcb	[0xcb, nil]
0xcf	[0xcf, nil]
0xf5	[0xf5, nil]
