0x0	0x0
0x40	0x40
0x8	0x8
0x2	0x2
0xe0	0xe0
0xe0	0xe5
0xa00	0xa00
0x5	0x8
0x5	0x5
0x7	0x8
0x7	0x7
0xd	0x40
0xd	0xd
0xd	0x2e
0xd	0x35
0xd	0x4b
0xd	0x56
0xd	0x61
0xd	0x6c
0xd	0x77
0xd	0x82
0xd	0x8d
0xd	0x98
0xd	0xa3
0xd	0xae
0xd	0xb9
0xd	0xc4
0xd	0xcf
0xd	0xda
0xd	0xe5
0xd	0xf0
0xd	0xfb
0xd	0x106
0xd	0x111
0xd	0x11c
0xd	0x127
0xd	0x132
0xd	0x13d
0xd	0x148
0xd	0x153
0x2b	0x2b
0x2d	0x40
0x2d	0x2d
0x2d	0x2e
0x2d	0x35
0x2d	0x4b
0x2d	0x56
0x2d	0x61
0x2d	0x6c
0x2d	0x77
0x2d	0x82
0x2d	0x8d
0x2d	0x98
0x2d	0xa3
0x2d	0xae
0x2d	0xb9
0x2d	0xc4
0x2d	0xcf
0x2d	0xda
0x2d	0xe5
0x2d	0xf0
0x2d	0xfb
0x2d	0x106
0x2d	0x111
0x2d	0x11c
0x2d	0x127
0x2d	0x132
0x2d	0x13d
0x2d	0x148
0x2d	0x153
0x2e	0x40
0x2e	0x2e
0x2e	0x35
0x2e	0x4b
0x2e	0x56
0x2e	0x61
0x2e	0x6c
0x2e	0x77
0x2e	0x82
0x2e	0x8d
0x2e	0x98
0x2e	0xa3
0x2e	0xae
0x2e	0xb9
0x2e	0xc4
0x2e	0xcf
0x2e	0xda
0x2e	0xe5
0x2e	0xf0
0x2e	0xfb
0x2e	0x106
0x2e	0x111
0x2e	0x11c
0x2e	0x127
0x2e	0x132
0x2e	0x13d
0x2e	0x148
0x2e	0x153
0x2f	0x2f
0x2f	0x35
0x35	0x35
0x3b	0x40
0x3b	0x3b
0x46	0x46
0x46	0x4b
0x4b	0x4b
0x51	0x51
0x51	0x56
0x56	0x56
0x5c	0x5c
0x5c	0x61
0x61	0x61
0x67	0x67
0x67	0x6c
0x6c	0x6c
0x72	0x72
0x72	0x77
0x77	0x77
0x7d	0x7d
0x7d	0x82
0x82	0x82
0x88	0x88
0x88	0x8d
0x8d	0x8d
0x93	0x93
0x93	0x98
0x98	0x98
0x9e	0x9e
0x9e	0xa3
0xa3	0xa3
0xa9	0xa9
0xa9	0xae
0xae	0xae
0xb4	0xb4
0xb4	0xb9
0xb9	0xb9
0xbf	0xbf
0xbf	0xc4
0xc4	0xc4
0xca	0xca
0xca	0xcf
0xcf	0xcf
0xd5	0xd5
0xd5	0xda
0xda	0xda
0xe5	0xe5
0xeb	0xeb
0xeb	0xf0
0xf0	0xf0
0xf6	0xf6
0xf6	0xfb
0xfb	0xfb
0x101	0x101
0x101	0x106
0x106	0x106
0x10c	0x10c
0x10c	0x111
0x111	0x111
0x117	0x117
0x117	0x11c
0x11c	0x11c
0x122	0x122
0x122	0x127
0x127	0x127
0x12d	0x12d
0x12d	0x132
0x132	0x132
0x138	0x138
0x138	0x13d
0x13d	0x13d
0x143	0x143
0x143	0x148
0x148	0x148
0x14e	0x14e
0x14e	0x153
0x153	0x153
0x159	0x159
0x15e	0x15e
0x15e	0x160
0x160	0x160
0x161	0x161
0x165	0x165
0x16b	0x16b
0x16e	0x16e
0x1e8	0x1e8
0x1e8	0x1ea
0x1ea	0x1ea
0x1eb	0x1eb
0x1ef	0x1ef
0x1f5	0x1f5
0x1f8	0x1f8
0x1f8	0x1fc
0x1f8	0x200
0x1f8	0x201
0x1f8	0x21a
0x1fb	0x1fb
0x1fb	0x1fc
