0x0	0xd
0xd	0x3a
0x1f3	0x206
0x267	0x27a
0x2c9	0x2dc
0x31e	0x331
0x82d	0x840
0x348	0x35b
0x396	0x3a9
0x48d	0x4a0
0x4c6	0x4d9
0xb36	0xb40
0x51c	0x52f
0x557	0x56a
0x58a	0x59d
0xe4a	0xe5b
0x1010	0x101b
0x72b	0x739
0x1070	0x107a
0x10df	0x10e9
0x76c	0x773
0x79c	0x7c0
0x1182	0x1193
0x869	0x874
0x89d	0x8ce
0x998	0x99f
0x12c3	0x12d1
0xc58	0xc5f
0xd62	0xd73
0xed0	0xee1
0x10c9	0x10d5
0x10f0	0x10fe
0x10ff	0x1106
0x1208	0x1229
0x141c	0x142d
0xcdd	0xcee
0x15d	0x165
0x1e7	0x1ef
0x234	0x23c
0x25b	0x263
0x2a8	0x2b0
0x2bd	0x2c5
0x2e7	0x2ef
0x312	0x31a
0x33c	0x344
0x375	0x37d
0x38a	0x392
0x3bd	0x3c5
0x3d2	0x3da
0x403	0x40b
0x418	0x420
0x42d	0x435
0x442	0x44a
0x457	0x45f
0x46c	0x474
0x481	0x489
0x4ba	0x4c2
0x4f3	0x4fb
0x510	0x518
0x54b	0x553
0x57e	0x586
0x100	0x10b
0x3a	0x45
0xdf	0xea
0x45	0x50
0x50	0x5b
0x5b	0x66
0x66	0x71
0x71	0x7c
0x7c	0x87
0x87	0x92
0x92	0x9d
0x9d	0xa8
0xa8	0xb3
0xb3	0xbe
0xbe	0xc9
0xc9	0xd4
0xd4	0xdf
0xea	0xf5
0xf5	0x100
0x10b	0x116
0x116	0x121
0x121	0x12c
0x12c	0x137
0x137	0x142
0x142	0x14d
0x14d	0x579ae
0x1ac0x15d	0x1c00x15d
0x1ac0x46c	0x1c00x46c
0x1940x15d	0x19d0x15d
0x1940x46c	0x19d0x46c
0x5b1B0x169	0x5f7B0x169
0x5f7B0x169	0x5ffB0x169
0x6200x5b1B0x169	0x6340x5b1B0x169
0xa86B0x478	0xaccB0x478
0xaccB0x478	0xad4B0x478
0x6200xa86B0x478	0x6340xa86B0x478
0xbeeB0x56e	0xbf5B0x56e
0x132eB0x56e	0x133fB0x56e
