0x0	__function_selector__
0x158	()
0x158	fallback()
0x15d	name()
0x1e7	approve(address,uint256)
0x234	totalSupply()
0x25b	transferFrom(address,address,uint256)
0x29e	returnDebt()
0x2a8	rate()
0x2bd	withdraw(uint256)
0x2e7	decimals()
0x312	loan(uint256)
0x33c	increaseAllowance(address,uint256)
0x375	totalInvested()
0x38a	balanceOf(address)
0x3bd	renounceOwnership()
0x3d2	loaner()
0x403	withdrawalSize()
0x418	minInvestment()
0x42d	loanSize()
0x442	owner()
0x457	isOwner()
0x46c	symbol()
0x481	decreaseAllowance(address,uint256)
0x4ba	transfer(address,uint256)
0x4f3	getLoanSize()
0x508	buyTokens()
0x510	allowance(address,address)
0x54b	transferOwnership(address)
0x57e	setLoaner(address)
0x5b1	0x5b1
0x647	0x647
0x933	0x933
0x975	0x975
0xa75	0xa75
0xa86	0xa86
0xae7	0xae7
0xb23	0xb23
0xbe6	0xbe6
0xcdd	0xcdd
0xe4a	0xe4a
0x1010	0x1010
0x10df	0x10df
0x12c3	0x12c3
0x1320	0x1320
