0x0	__function_selector__
0x361	transferCoupons(address,address,uint256,uint256)
0x376	name()
0x3b4	couponsExpiration(uint256)
0x3d4	periodFor(address)
0x3e7	pool()
0x3fc	totalSupply()
0x404	totalRedeemable()
0x40c	transferFrom(address,address,uint256)
0x41f	unbond(uint256)
0x432	withdraw(uint256)
0x445	approveCoupons(address,uint256)
0x458	decimals()
0x46d	rejectFor(address)
0x480	commit(address)
0x493	isNominated(address)
0x4a6	recordedVote(address,address)
0x4c6	totalBonded()
0x4ce	emergencyCommit(address)
0x4e1	expiringCouponsAtIndex(uint256,uint256)
0x4f4	epochTime()
0x4fc	dollar()
0x511	implementation()
0x519	approveFor(address)
0x52c	expiringCoupons(uint256)
0x53f	balanceOf(address)
0x552	bootstrappingAt(uint256)
0x565	oracle()
0x56d	initialize()
0x575	balanceOfBonded(address)
0x588	balanceOfStaged(address)
0x59b	epoch()
0x5a3	symbol()
0x5ab	statusOf(address)
0x5be	bond(uint256)
0x5d1	totalCoupons()
0x5d9	allowanceCoupons(address,address)
0x5ec	votesFor(address)
0x5ff	totalNet()
0x607	deposit(uint256)
0x61a	balanceOfCoupons(address,uint256)
0x62d	vote(address,uint8)
0x640	outstandingCoupons(uint256)
0x653	totalStaged()
0x65b	isInitialized(address)
0x66e	redeemCoupons(uint256,uint256)
0x681	couponPremium(uint256)
0x694	allowance(address,address)
0x6a2	unbondUnderlying(uint256)
0x6b5	purchaseCoupons(uint256)
0x6c8	advance()
0x6d0	startFor(address)
0x6e3	totalDebt()
0x6eb	totalBondedAt(uint256)
0x821	0x821
0x862	0x862
0x87a	0x87a
0x898	0x898
0x8a7	0x8a7
0x8ad	0x8ad
0x8b3	0x8b3
0x8c4	0x8c4
0xa0e	0xa0e
0xbc4	0xbc4
0xd30	0xd30
0xd4d	0xd4d
0xd80	0xd80
0xe79	0xe79
0xea9	0xea9
0xecc	0xecc
0xedb	0xedb
0xf00	0xf00
0xf1e	0xf1e
0xf33	0xf33
0xf51	0xf51
0xf64	0xf64
0xf73	0xf73
0xfbe	0xfbe
0x1019	0x1019
0x103d	0x103d
0x1170	0x1170
0x1176	0x1176
0x11a5	0x11a5
0x11bc	0x11bc
0x131e	0x131e
0x1362	0x1362
0x1608	0x1608
0x161d	0x161d
0x1623	0x1623
0x16d8	0x16d8
0x19c6	0x19c6
0x19e1	0x19e1
0x19e7	0x19e7
0x19f9	0x19f9
0x1aa4	0x1aa4
0x1bbc	0x1bbc
0x1c11	0x1c11
0x1c3b	0x1c3b
0x1c75	0x1c75
0x1cb7	0x1cb7
0x1d13	0x1d13
0x1d2e	0x1d2e
0x1dd9	0x1dd9
0x1dfe	0x1dfe
0x1e8d	0x1e8d
0x1ef1	0x1ef1
0x1f20	0x1f20
0x1f36	0x1f36
0x2078	0x2078
0x2169	0x2169
0x2182	0x2182
0x21ca	0x21ca
0x2385	0x2385
0x23e6	0x23e6
0x24c9	0x24c9
0x25e7	0x25e7
0x2687	0x2687
0x26d2	0x26d2
0x2765	0x2765
0x27bf	0x27bf
0x27eb	0x27eb
0x28a7	0x28a7
0x28bd	0x28bd
0x293c	0x293c
0x2957	0x2957
0x2a2a	0x2a2a
0x2ba3	0x2ba3
0x2bca	0x2bca
0x2be7	0x2be7
0x2c02	0x2c02
0x2c63	0x2c63
0x2d2b	0x2d2b
0x2f82	0x2f82
0x2fa4	0x2fa4
0x2ffc	0x2ffc
0x3059	0x3059
0x3082	0x3082
0x30ab	0x30ab
0x30d9	0x30d9
0x3120	0x3120
0x3217	0x3217
0x324b	0x324b
0x33b7	0x33b7
0x33fa	0x33fa
0x3481	0x3481
0x34d7	0x34d7
0x3512	0x3512
0x3573	0x3573
0x3578	0x3578
0x360c	0x360c
0x369d	0x369d
0x3756	0x3756
0x37ed	0x37ed
0x380e	0x380e
0x3821	0x3821
0x382c	0x382c
0x3837	0x3837
0x3875	0x3875
0x3880	0x3880
0x388b	0x388b
0x38a9	0x38a9
0x38e3	0x38e3
0x3930	0x3930
0x3991	0x3991
0x39c1	0x39c1
0x39f1	0x39f1
0x3a0f	0x3a0f
0x3a3f	0x3a3f
0x3a5d	0x3a5d
0x3a7b	0x3a7b
0x3a9a	0x3a9a
0x3aa9	0x3aa9
0x3ad8	0x3ad8
0x3b10	0x3b10
0x3d4d	0x3d4d
0x3d74	0x3d74
0x3d80	0x3d80
0x3db1	0x3db1
0x3dbf	0x3dbf
0x3de7	0x3de7
0x3e02	0x3e02
0x3e10	0x3e10
0x3e1e	0x3e1e
0x3e2c	0x3e2c
0x3e3a	0x3e3a
0x3e48	0x3e48
0x3e56	0x3e56
0x3e67	0x3e67
0x3e77	0x3e77
0x3e87	0x3e87
0x3e97	0x3e97
0x3ea7	0x3ea7
0x3eb7	0x3eb7
0x3ec7	0x3ec7
0x3ed7	0x3ed7
0x3ee5	0x3ee5
0x3ef3	0x3ef3
0x3f0e	0x3f0e
0x3f43	0x3f43
0x3f78	0x3f78
0x3f7c	0x3f7c
0x3f85	0x3f85
0x3f90	0x3f90
0x3fa2	0x3fa2
0x3fbe	0x3fbe
0x3fc5	0x3fc5
0x3fd0	0x3fd0
0x3fdb	0x3fdb
0x4011	0x4011
0x401b	0x401b
0x402f	0x402f
0x4038	0x4038
0x4045	0x4045
0x82ec	()
0x82ec	fallback()
0x3e040	transfer(address,uint256)
0x3e06d	approve(address,uint256)
0x63314	0x63314
0x63336	0x63336
0x633c9	0x633c9
0x6397d	0x6397d
0x756b5	0x756b5
0x87258	0x87258
0x8727a	0x8727a
0x87402	0x87402
0x98a01	0x98a01
