0xfbe
0x103d
0x131e
0x1362
0x1c3b
0x2182
0x2385
0x25e7
0x26d2
0x27eb
0x28bd
0x2a2a
0x2c63
0x2ffc
0x3120
0x3217
0x33b7
0x3481
0x3578
0x3756
0x3fdb
