0x94e	18	0x8a2	2
0x94e	18	0x9d0	2
0x94e	18	0xb58	2
0x94e	18	0xe85	2
0x94e	18	0x12ee	2
0x94e	18	0x13e1	2
0x94e	18	0x1648	2
0x94e	18	0x1cd6	2
0x94e	18	0x1dca	2
0xdc9	12	0x1fda	4
0xf31	13	0x317e	4
0xf31	13	0x32f4	4
0x128a	3	0x46d	1
0x128a	3	0xfb8	1
0x128a	3	0x1ed0	1
0x33a0	22	0x33cd	8
0x33bc	8	0x380	1
0x33bc	8	0x393	1
0x33bc	8	0x3cc	1
0x33bc	8	0x407	1
0x33bc	8	0x44d	1
0x33bc	8	0x4b6	1
0x33bc	8	0x562	1
0x33bc	8	0x5ef	1
0x3552	3	0x280	1
0x3552	3	0x307	1
0x3552	3	0x422	1
0x3644	14	0x255	1
0x3644	14	0x295	1
0x3644	14	0x2f4	1
0x3644	14	0x334	1
0x3644	14	0x347	1
0x3644	14	0x36d	1
0x3644	14	0x3a6	1
0x3644	14	0x3b9	1
0x3644	14	0x47d	1
0x3644	14	0x490	1
0x3644	14	0x4dc	1
0x3644	14	0x502	1
0x3644	14	0x515	1
0x3644	14	0x528	1
0x3b54	55	0x3347	20
0x3c98	42	0x2745	19
0x3c98	42	0x27fe	19
0x3d05	67	0x2f7e	20
0x3d05	67	0x2fcb	20
0x3d4a	315	0x365c	58
0x3d76	114	0x216a	18
0x3d76	114	0x217f	18
0x3d76	114	0x224f	18
0x3d76	114	0x2264	18
0x3dcc	109	0x27c3	19
