0x0	0xc
0x1a	0x2b
0x2a86	0x2a95
0x2a95	0x2aba
0x2b55	0x2b7a
0x2c94	0x2c9c
0x10	0x1a
0xe0	0xeb
0x126	0x132
0xb3	0xbf
0x1a4	0x1b0
0xc04	0xc10
0xd79	0xd9d
0xdc9	0xde7
0xf31	0xf42
0x148d	0x149f
0x3443	0x3455
0x357b	0x3590
0x3d76	0x3d84
0x6ca	0x6cf
0xa87	0xa8e
0x2b	0x36
0xc57	0xc66
0xc6c	0xc71
0xce3	0xcea
0xd46	0xd52
0x15d5	0x15da
0x99	0xa4
0x270d	0x2715
0x299b	0x29aa
0x2380	0x2385
0x23ec	0x2409
0x2427	0x242d
0x2452	0x2461
0x24ba	0x24c9
0x3cee	0x3cf9
0x2a55	0x2a72
0x26f1	0x26f6
0x2c01	0x2c14
0x275b	0x276f
0x3db1	0x3dbe
0x2735	0x273c
0x2784	0x27a2
0x41	0x4c
0x3dcc	0x3dd4
0x27db	0x27e9
0x27b2	0x27b9
0x2d0e	0x2d1d
0x2a80	0x2a86
0x2b45	0x2b55
0x3d05	0x3d1b
0x2f05	0x2f24
0x36	0x41
0x2c45	0x2c5b
0x2c5f	0x2c6d
0x2c8f	0x2c94
0x2cc2	0x2cca
0x2d69	0x2d83
0x2d8c	0x2d9b
0x2da3	0x2dbd
0x3d2a	0x3d43
0x2f6b	0x2f7e
0x3338	0x3347
0x2fc5	0x2fcb
0x3c57	0x3c6f
0x313e	0x315d
0x3c76	0x3c91
0x3195	0x31af
0x322d	0x324e
0x3263	0x327d
0x3292	0x32c3
0x346f	0x348f
0x3492	0x34a2
0x34a5	0x34b0
0x34b7	0x34d8
0x34df	0x34f4
0x359c	0x35bc
0xa4	0xaf
0x3d8a	0x3d96
0x4c	0x57
0x57	0x62
0x62	0x6d
0x6d	0x78
0x78	0x83
0x83	0x8e
0x8e	0x99
0xbf	0xca
0xca	0xd5
0xd5	0xe0
0xeb	0xf6
0xf6	0x101
0x101	0x10c
0x10c	0x117
0x117	0x122
0x132	0x13d
0x13d	0x148
0x148	0x153
0x153	0x15e
0x15e	0x169
0x169	0x174
0x174	0x17f
0x17f	0x18a
0x18a	0x195
0x195	0x1a0
0x1b0	0x1bb
0x1bb	0x1c6
0x1c6	0x1d1
0x1d1	0x1dc
0x1dc	0x1e7
0x1e7	0x1f2
0x1f2	0x1fd
0x1fd	0x208
0x208	0x2094f0
0x336f0x335f	0x33820x335f
0x6980x62d	0x6ac0x62d
