0x0	0xd
0xd	0x41
0x19d	0x1a7
0x1ab	0x1b6
0x1ba	0x1c5
0x1d5	0x1e6
0xa13	0xa25
0xa46	0xa59
0x2ed	0x301
0x2d2	0x2db
0xb9b	0xbf5
0xd35	0xd81
0xfe8	0x1040
0x107c	0x10d4
0x604	0x618
0x5e9	0x5f2
0x126a	0x12c2
0x1399	0x13b2
0x7b4	0x7c8
0x799	0x7a2
0x162d	0x1687
0x16f6	0x174e
0x195f	0x19b9
0x1a28	0x1a80
0xa34	0xa3b
0xa5e	0xa65
0xbf9	0xc03
0xc07	0xc3d
0xc55	0xc66
0xe02	0xe09
0xe0e	0xe14
0x1044	0x105b
0x10d8	0x112f
0x12c6	0x12dc
0x12e0	0x12ea
0x12ee	0x12f8
0x13b6	0x140e
0x1412	0x145e
0x14b3	0x157c
0x1580	0x1589
0x158d	0x159e
0x1694	0x16a5
0x1c4a	0x1c58
0x1752	0x1788
0x19c6	0x19d7
0x1a84	0x1a8e
0x1a92	0x1a9d
0x180	0x199
0x29a	0x2a1
0x328	0x32f
0x382	0x389
0x3c4	0x3cb
0x3f1	0x3f8
0x41a	0x421
0x493	0x49a
0x4bc	0x4c3
0x4e5	0x4ec
0x53a	0x541
0x563	0x56a
0x578	0x57f
0x5b1	0x5b8
0x63f	0x646
0x668	0x66f
0x6b5	0x6bc
0x6de	0x6e5
0x70a	0x711
0x74c	0x753
0x761	0x768
0x7ef	0x7f6
0x812	0x819
0x84b	0x852
0x8a0	0x8a7
0x8fa	0x901
0x91d	0x924
0x940	0x947
0x969	0x970
0x9d5	0x9dc
0x9ea	0x9f1
0x41	0x4c
0x4c	0x57
0x57	0x62
0x62	0x6d
0x6d	0x78
0x78	0x83
0x83	0x8e
0x8e	0x99
0x99	0xa4
0xa4	0xaf
0xaf	0xba
0xba	0xc5
0xc5	0xd0
0xd0	0xdb
0xdb	0xe6
0xe6	0xf1
0xf1	0xfc
0xfc	0x107
0x107	0x112
0x112	0x11d
0x11d	0x128
0x128	0x133
0x133	0x13e
0x13e	0x149
0x149	0x154
0x154	0x15f
0x15f	0x16a
0x16a	0x175
0x175	0x44dae
0xa25	0xa30
0x1177B0x5bc	0x11c7B0x5bc
0x11f0B0x5bc	0x1204B0x5bc
0x11c7B0x5bc	0x11cfB0x5bc
0x17f6B0x8ab	0x1842B0x8ab
0x1847B0x8ab	0x184dB0x8ab
0x1b38B0x9e0	0x1b90B0x9e0
0x1b94B0x9e0	0x1bb5B0x9e0
0x1bb9B0x9e0	0x1c2eB0x9e0
