0x0	__function_selector__
0x180	()
0x180	fallback()
0x29a	name()
0x328	approve(address,uint256)
0x382	allocateToken(address,uint256)
0x3c4	isFunding()
0x3f1	totalSupply()
0x41a	transferFrom(address,address,uint256)
0x493	tokenRaised()
0x4bc	decimals()
0x4e5	newContractAddr()
0x53a	tokenExchangeRate()
0x563	stopFunding()
0x578	setMigrateContract(address)
0x5b1	version()
0x63f	tokenMigrated()
0x668	balanceOf(address)
0x6b5	currentSupply()
0x6de	startFunding(uint256,uint256)
0x70a	mintToken(address,uint256)
0x74c	migrate()
0x761	symbol()
0x7ef	decreaseSupply(uint256)
0x812	changeOwner(address)
0x84b	ethFundDeposit()
0x8a0	transfer(address,uint256)
0x8fa	increaseSupply(uint256)
0x91d	setTokenExchangeRate(uint256)
0x940	fundingStartBlock()
0x969	allowance(address,address)
0x9d5	transferETH()
0x9ea	fundingStopBlock()
0xa13	0xa13
0xa46	0xa46
0xd35	0xd35
0x1177	0x1177
0x1329	0x1329
0x17f6	0x17f6
0x1b38	0x1b38
0x1c3a	0x1c3a
