0x98	0x6fdde03
0x115	0x18160ddd
0x12f	0x2f252a56
0x153	0x313ce567
0x171	0x5aa6e675
0x179	0x70a08231
0x19f	0x95d89b41
0x1a7	0xab033ea9
0x1cf	0xcd8b0478
0x99a	0x00000000
