0x18474	0x99a
0x15274	0x171
0x15c74	0x179
0x16674	0x19f
0x17074	0x1a7
0x17a74	0x1cf
0x12a74	0x98
0x13474	0x115
0x13e74	0x12f
0x14874	0x153
