0x0	__function_selector__
0xfa	name()
0x17d	approve(address,uint256)
0x1e3	getCurrentMintAmount()
0x201	totalSupply()
0x21f	transferFrom(address,address,uint256)
0x2a5	decimals()
0x2c9	increaseAllowance(address,uint256)
0x32f	claim()
0x339	balanceOf(address)
0x391	hasClaimed(address)
0x3ed	symbol()
0x470	decreaseAllowance(address,uint256)
0x4d6	transfer(address,uint256)
0x53c	maxSupply()
0x55a	allowance(address,address)
0x5d2	0x5d2
0x692	0x692
0x6a1	0x6a1
0x784	0x784
0xb84	0xb84
0xd11	0xd11
0xdd6	0xdd6
0xdde	0xdde
0xfd5	0xfd5
0x102f	0x102f
0x12f0	0x12f0
0x13aa	0x13aa
0x1432	0x1432
0x14bb	0x14bb
0x30e8	()
0x30e8	fallback()
0x1a2e8	0x1a2e8
0x1a331	0x1a331
