0xfa	0x6fdde03
0x17d	0x95ea7b3
0x1e3	0xfdfec0a
0x201	0x18160ddd
0x21f	0x23b872dd
0x2a5	0x313ce567
0x2c9	0x39509351
0x32f	0x4e71d92d
0x339	0x70a08231
0x391	0x73b2e80e
0x3ed	0x95d89b41
0x470	0xa457c2d7
0x4d6	0xa9059cbb
0x53c	0xd5abeb01
0x55a	0xdd62ed3e
0x30e8	0x00000000
