0xb9	0x14e027de
0xe9	0x58443a3b
0x107	0x5e70843b
0x123	0x5fea577f
0x13f	0x7a0e558b
0x16f	0x7b103999
0x18d	0x9daf0359
0x1ab	0xa31091c7
0x1c9	0xab7b4993
0x1e5	0xcf5f86bd
0x203	0xda35bc69
0x221	0xf50477a2
0x2da4	0x00000000
