0xe0
0xce
0xd3
0xf1
0xfe
0x11c
0x121
0x138
0x13d
0x154
0x159
0x166
0x177
0x184
0x195
0x1a2
0x1b3
0x1c0
0x1de
0x1e3
0x1ed
0x1fa
0x20b
0x218
0x229
0x236
0x2fe
0x350
0x389
0x421
0x44a
0x467
0x526
0x578
0x5b1
0x5d0
0x623
0x76c
0x77e
0x8c4
0x8d5
0x8f1
0x91e
0x989
0x9db
0xa14
0xa84
0xc10
0xc1b
0xca6
0xd0c
0xd11
0xd46
0xd78
0xd7d
0xdb2
0xde5
0xdfa
0xe21
0xe4b
0xe63
0xe78
0xe8d
0xeb3
0xedd
0xeee
0xf30
0xf71
0xf9a
0xfc3
0xfd8
0xfed
0xffc
0x100d
0x1017
0x1022
0x103a
0x1045
0x1069
0x1078
0x1087
0x1098
0x10a2
0x10b2
0x10bb
0x10d3
0x10de
0x10f6
0x1101
0x1119
0x1124
0x1147
0x115f
0x1179
0x118f
0x11aa
0x11ca
0x11e7
0x1202
0x121d
0x123c
0x125c
0x127c
0x129d
0x12ba
0x12ca
0x12d6
0x12ff
0x1382
0x138d
0x139f
0x13b6
0x13fe
0x1410
0x1422
0x1434
0x1479
0x148c
0x14a1
0x14bf
0x14d4
0x1506
0x1651
0x1668
0x167f
