0x0	__function_selector__
0xb9	positionSpenderAddresses(uint256)
0xe9	managementList()
0x107	setAssetDeprecated(address,bool)
0x123	setPositionSpenderAddresses(address[])
0x13f	assetDeprecated(address)
0x16f	registry()
0x18d	generatorInfo()
0x1ab	assetsAddresses()
0x1c9	setRegistryAddress(address)
0x1e5	getPositionSpenderAddresses()
0x203	numberOfDeprecatedAssets()
0x221	assetsLength()
0x4ca	0x4ca
0x6c3	0x6c3
0xad2	0xad2
0xb66	0xb66
0xc20	0xc20
0xce1	0xce1
0xcfe	0xcfe
0xd6a	0xd6a
0xdd6	0xdd6
0xdeb	0xdeb
0xe00	0xe00
0xe2a	0xe2a
0xe54	0xe54
0xe69	0xe69
0xe7e	0xe7e
0xe93	0xe93
0xebc	0xebc
0xef8	0xef8
0xf39	0xf39
0xf7a	0xf7a
0xfa3	0xfa3
0xfe4	0xfe4
0x1002	0x1002
0x108d	0x108d
0x112f	0x112f
0x1195	0x1195
0x11b0	0x11b0
0x11d2	0x11d2
0x11ed	0x11ed
0x1208	0x1208
0x1223	0x1223
0x1243	0x1243
0x1263	0x1263
0x1283	0x1283
0x12a5	0x12a5
0x12c0	0x12c0
0x12e5	0x12e5
0x1366	0x1366
0x13ab	0x13ab
0x13bd	0x13bd
0x13c9	0x13c9
0x13e9	0x13e9
0x13f3	0x13f3
0x1405	0x1405
0x1417	0x1417
0x1429	0x1429
0x143b	0x143b
0x14c9	0x14c9
0x1570	0x1570
0x1648	0x1648
0x165f	0x165f
0x1676	0x1676
0x2da4	()
0x2da4	fallback()
