0xb9
0xd3
0xf1
0x107
0x123
0x138
0x13f
0x159
0x177
0x195
0x1ab
0x1b3
0x1c9
0x1e5
0x1ed
0x20b
0x221
0x229
0x2a2
0x32c
0x358
0x3f0
0x438
0x4ca
0x554
0x580
0x5ba
0x743
0x76c
0x87f
0x8c8
0x8dd
0x8f1
0x92d
0x9b7
0x9e3
0xa53
0xbe7
0xc99
0xcfe
0xd0c
0xd3c
0xd6a
0xd78
0xda8
0xdd6
0xdeb
0xe11
0xe3b
0xe54
0xe69
0xe7e
0xea5
0xecf
0xedd
0xf24
0xf65
0xf8c
0xfb5
0xfcc
0xfe4
0xff3
0x1060
0x106f
0x107e
0x10a2
0x10b2
0x10c6
0x10e9
0x110c
0x112f
0x1147
0x115f
0x1186
0x11b0
0x1283
0x1377
0x1382
0x13ab
0x13f3
0x1405
0x1417
0x1429
0x146e
0x1498
0x14c9
0x1648
0x165f
0x1676
