0x158	0x05d2035b	mintingFinished()
0x181	0x06fdde03	name()
0x20b	0x095ea7b3	approve(address,uint256)
0x22f	0x14133a7c	setSaleAgent(address)
0x252	0x18160ddd	totalSupply()
0x279	0x23b872dd	transferFrom(address,address,uint256)
0x2a3	0x2e4dde60	unlockAddressDuringITO(address)
0x2c4	0x313ce567	decimals()
0x2f2	0x40c10f19	mint(address,uint256)
0x316	0x4c66326d	deregisterCallback(address)
0x337	0x66188463	decreaseApproval(address,uint256)
0x35b	0x70a08231	balanceOf(address)
0x37c	0x715018a6	renounceOwnership()
0x391	0x7a983e69	lockAddressDuringITO(address)
0x3b2	0x7d64bcb4	finishMinting()
0x3c7	0x8da5cb5b	owner()
0x3f8	0x923108d9	tokenHolders(uint256)
0x410	0x95d89b41	symbol()
0x425	0xa9059cbb	transfer(address,uint256)
0x449	0xb1d6a2f0	saleAgent()
0x45e	0xcf1b037c	registerCallback(address)
0x47f	0xd73dd623	increaseApproval(address,uint256)
0x4a3	0xdb0d7a38	unlockedAddressesDuringITO(address)
0x4c4	0xdd62ed3e	allowance(address,address)
0x4eb	0xf2fde38b	transferOwnership(address)
0x50c	0xf308846f	registeredCallbacks(address)
