0x0	__function_selector__
0x153	()
0x153	fallback()
0x158	mintingFinished()
0x181	name()
0x20b	approve(address,uint256)
0x22f	setSaleAgent(address)
0x252	totalSupply()
0x279	transferFrom(address,address,uint256)
0x2a3	unlockAddressDuringITO(address)
0x2c4	decimals()
0x2f2	mint(address,uint256)
0x316	deregisterCallback(address)
0x337	decreaseApproval(address,uint256)
0x35b	balanceOf(address)
0x37c	renounceOwnership()
0x391	lockAddressDuringITO(address)
0x3b2	finishMinting()
0x3c7	owner()
0x3f8	tokenHolders(uint256)
0x410	symbol()
0x425	transfer(address,uint256)
0x449	saleAgent()
0x45e	registerCallback(address)
0x47f	increaseApproval(address,uint256)
0x4a3	unlockedAddressesDuringITO(address)
0x4c4	allowance(address,address)
0x4eb	transferOwnership(address)
0x50c	registeredCallbacks(address)
0x63d	0x63d
0xb54	0xb54
0xc95	0xc95
0xccd	0xccd
0xd66	0xd66
0xe22	0xe22
0xe35	0xe35
0xe47	0xe47
