0xbd	0xc5
0xc7	0xce
0xf8	0x10e
0x10a	0xf3
0x11e	0x13b
0x14d	0x155
0x157	0x1a2
0x164	0x16c
0x19e	0x648
0x1c0	0x1c8
0x1ca	0x1d1
0x1cd	0x73a
0x1eb	0x1f3
0x1f5	0x260
0x202	0x20a
0x25c	0x740
0x27e	0x286
0x288	0x28f
0x28b	0x9af
0x2af	0x2b7
0x2b9	0x2c0
0x2ea	0x300
0x2fc	0x2e5
0x310	0x32d
0x33f	0x347
0x349	0x38a
0x356	0x35e
0x386	0xa60
0x3a4	0x3ac
0x3ae	0x3b5
0x3b1	0xa78
0x3cf	0x3d7
0x3d9	0x3e0
0x40a	0x420
0x41c	0x405
0x430	0x44d
0x45f	0x467
0x469	0x470
0x46c	0xb1c
0x4b6	0x4be
0x4c0	0x50b
0x4cd	0x4d5
0x507	0xb42
0x529	0x531
0x533	0x594
0x540	0x548
0x590	0xc9b
0x788	0x790
0x813	0x81b
0xb8a	0xb92
0x19f2	0xf3
0x23f2	0x13b
0x2df2	0x2e5
0x37f2	0x32d
0x41f2	0x405
0x4bf2	0x44d
0x22326	0x2a526
0x22d26	0x2af26
0x23726	0x2b926
0x24126	0x2c326
0x24b26	0x2cd26
0x25526	0x2d726
0x25f26	0x2e126
0x26926	0x2eb26
0x27326	0x2f526
0x27d26	0x2ff26
0x28726	0x30926
0x29126	0x31326
0x29b26	0x31d26
0x611V0xc5	0x1106bB0xc5
0x5f6V0xc5	0x11044B0xc5
0x55f2V0xc5	0x623B0xc5
0x633V0xc5	0x623B0xc5
0x5feV0xc5	0x615B0xc5
0x5ff2V0xc5	0x1112eB0xc5
0xa29V0x2b7	0x110b9B0x2b7
0xa0eV0x2b7	0x11092B0x2b7
0x69f2V0x2b7	0xa3bB0x2b7
0xa4bV0x2b7	0xa3bB0x2b7
0xa16V0x2b7	0xa2dB0x2b7
0x73f2V0x2b7	0x11155B0x2b7
0xae5V0x3d7	0x11107B0x3d7
0xacaV0x3d7	0x110e0B0x3d7
0x7df2V0x3d7	0xaf7B0x3d7
0xb07V0x3d7	0xaf7B0x3d7
0xad2V0x3d7	0xae9B0x3d7
0x87f2V0x3d7	0x1117cB0x3d7
