filename,block,tx,msg,address,first,last,codes,contracts,len_code,len_code1,len_sigs,solc,subdir,contract_id,source_path
13274126-0xd0b29da9f867d69b16f15fb05dfeede0177f8b48.hex,13274126,17,0,0xd0b29da9f867d69b16f15fb05dfeede0177f8b48,13274126,13276245,1,2,8554,8501,39,0.7.6,13xxxxxx,13274126-0xd0b29da9f867d69b16f15fb05dfeede0177f8b48,/Users/rafael/projects/skelcodes/source/13xxxxxx/13274126-0xd0b29da9f867d69b16f15fb05dfeede0177f8b48
6843965-0xb8d92047fb921881e8b7f367467ef7e8d9bdda3f.hex,6843965,1,0,0xb8d92047fb921881e8b7f367467ef7e8d9bdda3f,6843965,6843965,1,1,4816,4773,11,0.4.25,6xxxxxx,6843965-0xb8d92047fb921881e8b7f367467ef7e8d9bdda3f,/Users/rafael/projects/skelcodes/source/6xxxxxx/6843965-0xb8d92047fb921881e8b7f367467ef7e8d9bdda3f
6532854-0x34c0768c77fbeea5fb7a7b6f2c20dcfa504faadf.hex,6532854,45,1,0x34c0768c77fbeea5fb7a7b6f2c20dcfa504faadf,6532854,6532854,1,1,4568,4525,26,0.4.25,6xxxxxx,6532854-0x34c0768c77fbeea5fb7a7b6f2c20dcfa504faadf,/Users/rafael/projects/skelcodes/source/6xxxxxx/6532854-0x34c0768c77fbeea5fb7a7b6f2c20dcfa504faadf
11555917-0xee621104e98a258c5af360422b369acca06516e0.hex,11555917,42,0,0xee621104e98a258c5af360422b369acca06516e0,11555917,11563572,2,2,16752,16686,55,0.5.17,11xxxxxx,11555917-0xee621104e98a258c5af360422b369acca06516e0,/Users/rafael/projects/skelcodes/source/11xxxxxx/11555917-0xee621104e98a258c5af360422b369acca06516e0
10143073-0xc3d6a4e3fc8c1cd399ddedb2501f6212f79dfcb3.hex,10143073,32,0,0xc3d6a4e3fc8c1cd399ddedb2501f6212f79dfcb3,9935573,11108046,8,8,6512,6460,15,0.5.12,10xxxxxx,10143073-0xc3d6a4e3fc8c1cd399ddedb2501f6212f79dfcb3,/Users/rafael/projects/skelcodes/source/10xxxxxx/10143073-0xc3d6a4e3fc8c1cd399ddedb2501f6212f79dfcb3
7274976-0x94c69f73338b10ddc36c8af11fb8199aeb5ffae9.hex,7274976,5,0,0x94c69f73338b10ddc36c8af11fb8199aeb5ffae9,6867951,7400090,2,20,1125,1082,7,0.4.25,7xxxxxx,7274976-0x94c69f73338b10ddc36c8af11fb8199aeb5ffae9,/Users/rafael/projects/skelcodes/source/7xxxxxx/7274976-0x94c69f73338b10ddc36c8af11fb8199aeb5ffae9
10653523-0xa0f2c6518fe3192d31146271c2233846a7a11b24.hex,10653523,39,0,0xa0f2c6518fe3192d31146271c2233846a7a11b24,10653523,10653523,1,1,280,214,2,0.5.17,10xxxxxx,10653523-0xa0f2c6518fe3192d31146271c2233846a7a11b24,/Users/rafael/projects/skelcodes/source/10xxxxxx/10653523-0xa0f2c6518fe3192d31146271c2233846a7a11b24
13754755-0x5f001a2a283d58192e9af7181ad10110fbbeee19.hex,13754755,252,0,0x5f001a2a283d58192e9af7181ad10110fbbeee19,13754755,13754755,1,1,20158,20105,38,0.8.7,13xxxxxx,13754755-0x5f001a2a283d58192e9af7181ad10110fbbeee19,/Users/rafael/projects/skelcodes/source/13xxxxxx/13754755-0x5f001a2a283d58192e9af7181ad10110fbbeee19
5772599-0x0bb3110efc19651dd4244234b0f0177af64b0fbf.hex,5772599,31,0,0x0bb3110efc19651dd4244234b0f0177af64b0fbf,5772599,5772599,1,1,1115,1072,1,0.4.24,5xxxxxx,5772599-0x0bb3110efc19651dd4244234b0f0177af64b0fbf,/Users/rafael/projects/skelcodes/source/5xxxxxx/5772599-0x0bb3110efc19651dd4244234b0f0177af64b0fbf
11079290-0xa963ea264a0a4a84c27101689dd38deb18ed9f0c.hex,11079290,50,0,0xa963ea264a0a4a84c27101689dd38deb18ed9f0c,10806351,11170377,1,4,2287,2234,9,0.6.12,11xxxxxx,11079290-0xa963ea264a0a4a84c27101689dd38deb18ed9f0c,/Users/rafael/projects/skelcodes/source/11xxxxxx/11079290-0xa963ea264a0a4a84c27101689dd38deb18ed9f0c
4031688-0x6bdfc84ebc6db38c55649260ac308a7aec7e441b.hex,4031688,44,0,0x6bdfc84ebc6db38c55649260ac308a7aec7e441b,3989769,4031688,2,2,3117,3074,13,0.4.13,4xxxxxx,4031688-0x6bdfc84ebc6db38c55649260ac308a7aec7e441b,/Users/rafael/projects/skelcodes/source/4xxxxxx/4031688-0x6bdfc84ebc6db38c55649260ac308a7aec7e441b
6581416-0x0a5150bd52d44e73906a161a44f8a236bfbc7c11.hex,6581416,133,0,0x0a5150bd52d44e73906a161a44f8a236bfbc7c11,6581273,6581753,2,4,4207,4164,21,0.4.24,6xxxxxx,6581416-0x0a5150bd52d44e73906a161a44f8a236bfbc7c11,/Users/rafael/projects/skelcodes/source/6xxxxxx/6581416-0x0a5150bd52d44e73906a161a44f8a236bfbc7c11
11013652-0xfe9a29ab92522d14fc65880d817214261d8479ae.hex,11013652,83,0,0xfe9a29ab92522d14fc65880d817214261d8479ae,11013652,11013652,1,1,13598,13532,21,0.5.16,11xxxxxx,11013652-0xfe9a29ab92522d14fc65880d817214261d8479ae,/Users/rafael/projects/skelcodes/source/11xxxxxx/11013652-0xfe9a29ab92522d14fc65880d817214261d8479ae
12242949-0xa0b57619a980dfefd50f24f310ee1b55a40a9d46.hex,12242949,32,0,0xa0b57619a980dfefd50f24f310ee1b55a40a9d46,12242949,12242949,1,1,5827,5774,12,0.8.2,12xxxxxx,12242949-0xa0b57619a980dfefd50f24f310ee1b55a40a9d46,/Users/rafael/projects/skelcodes/source/12xxxxxx/12242949-0xa0b57619a980dfefd50f24f310ee1b55a40a9d46
12876344-0x3615a303674ec8bc0432f7e1be8449a63a19d6ef.hex,12876344,101,0,0x3615a303674ec8bc0432f7e1be8449a63a19d6ef,12876344,12876344,1,1,6538,6485,8,0.6.7,12xxxxxx,12876344-0x3615a303674ec8bc0432f7e1be8449a63a19d6ef,/Users/rafael/projects/skelcodes/source/12xxxxxx/12876344-0x3615a303674ec8bc0432f7e1be8449a63a19d6ef
11334592-0x8d8cbebabdc0c8ac170ace3cad81e621766cf940.hex,11334592,157,0,0x8d8cbebabdc0c8ac170ace3cad81e621766cf940,11334592,11334592,1,1,5886,5833,4,0.6.12,11xxxxxx,11334592-0x8d8cbebabdc0c8ac170ace3cad81e621766cf940,/Users/rafael/projects/skelcodes/source/11xxxxxx/11334592-0x8d8cbebabdc0c8ac170ace3cad81e621766cf940
4213468-0x8290454923482f7733575bb0682c94befb629d32.hex,4213468,0,1,0x8290454923482f7733575bb0682c94befb629d32,4210532,4213468,2,3,3288,3245,16,0.4.15,4xxxxxx,4213468-0x8290454923482f7733575bb0682c94befb629d32,/Users/rafael/projects/skelcodes/source/4xxxxxx/4213468-0x8290454923482f7733575bb0682c94befb629d32
12087182-0xb8c04f13b23cc4046c5446efc8abd8d0daf467ca.hex,12087182,59,0,0xb8c04f13b23cc4046c5446efc8abd8d0daf467ca,12087182,12962579,2,2,3079,3026,8,0.6.12,12xxxxxx,12087182-0xb8c04f13b23cc4046c5446efc8abd8d0daf467ca,/Users/rafael/projects/skelcodes/source/12xxxxxx/12087182-0xb8c04f13b23cc4046c5446efc8abd8d0daf467ca
