0xe0	0x6fdde03
0xdb	0x00000000
0x170	0x95ea7b3
0x1d5	0x18160ddd
0x200	0x19cae462
0x22b	0x23b872dd
0x2b0	0x313ce567
0x2db	0x51bdd585
0x30e	0x5c10fe08
0x33b	0x70a08231
0x392	0x81c8149d
0x3bd	0x95d89b41
0x44d	0xa9059cbb
0x49a	0xcae9ca51
0x545	0xdd62ed3e
0x5bc	0xfcd6e339
