0x0	__function_selector__
0xe0	name()
0xdb	()
0xdb	fallback()
0x170	approve(address,uint256)
0x1d5	totalSupply()
0x200	difficulty()
0x22b	transferFrom(address,address,uint256)
0x2b0	decimals()
0x2db	currentChallenge()
0x30e	proofOfWork(uint256)
0x33b	balanceOf(address)
0x392	timeOfLastProof()
0x3bd	symbol()
0x44d	transfer(address,uint256)
0x49a	approveAndCall(address,uint256,bytes)
0x545	allowance(address,address)
0x5bc	giveBlockReward()
0x5d3	0x5d3
0x671	0x671
0x9cd	0x9cd
0xa6b	0xa6b
0xa7a	0xa7a
0xc72	0xc72
