0x671	0x671
0xa6b	0xa76
0xc72	0xf82
0x5d3	0x1076c
0x5d3	0x10793
0x9cd	0x107ba
0x9cd	0x107e1
0xa7a	0x10808
0x5d3	0x1082f
0x9cd	0x10856
0xa7a	0x1087d
