0xe2	0x00000000
0x2a4	0x1f98394d
0x2c9	0x2605b3c7
0x2fe	0x316cb1b4
0x313	0x334191f7
0x326	0x4a35035a
0x339	0x5adf292f
0x34c	0x604e7af6
0x35f	0x65db63d0
0x372	0x6bcc28a9
0x385	0x7be2d5a2
0x39e	0x853828b6
0x3b1	0x8da5cb5b
0x3e0	0x98f9724f
0x3f3	0xa2558ee2
0x406	0xb2b158e8
0x41c	0xf2fde38b
0x43b	0xf36d1e4e
0x457	0xff757d59
