0x0	__function_selector__
0x113	0x113
0x120	name()
0x1b0	approve(address,uint256)
0x1e3	totalSupply()
0x205	transferFrom(address,address,uint256)
0x23e	decimals()
0x260	tokenRate()
0x282	iceFund()
0x2a4	finalize()
0x2b6	version()
0x346	tokenCreationCap()
0x368	balanceOf(address)
0x396	iceFundDeposit()
0x3c2	isFinalized()
0x3e6	fundingEndBlock()
0x408	symbol()
0x498	ethFundDeposit()
0x4c4	transfer(address,uint256)
0x4f7	makeTokens()
0x501	fundingStartBlock()
0x523	allowance(address,address)
0x557	0x557
0x671	0x671
0x6e2	0x6e2
0x7dd	0x7dd
0x83b	0x83b
0x8f6	0x8f6
0x993	0x993
0xa1d	0xa1d
0xacf	0xacf
0xafc	0xafc
0xb2b	0xb2b
