0x11c	0x00000000
0x997	0x267edd2f
0x9be	0x2d3e474a
0x9ef	0x48f95a7d
0xa10	0x64f741ba
0xa25	0x75272043
0xa3a	0x7d882097
0xa4f	0x85f2aef2
0xa64	0x86be3981
0xad5	0x934aa023
0xaea	0x9448fa12
0xaff	0x963920a3
0xb17	0xa87430ba
0xb60	0xab0046ab
0xb75	0xaf3e2122
0xb8a	0xbd9da935
0xb9f	0xbf4a6da2
0xbb4	0xcbd076f8
0xbf1	0xce1b81b4
0xc06	0xd85bd526
0xc2f	0xdb0db014
0xc4a	0xebe4c0d1
