0xdf0
0xdf1
0xdf2
0xdf3
0xdf4
0xdf5
0xf6a
0xf6b
0xf6c
0xf6d
0xf6e
0xf6f
0xf70
0xf71
0x216a
0x216b
0x216c
0x216d
0x216e
0x216f
0x32b2
0x32b3
0x32b4
0x32b5
0x32b6
0x32b7
0x157b4
0x157d4
0x56e2c
0x56e2d
0x56e2e
0x56e2f
0x56e30
