0x0	0xc
0x1a	0x2b
0x20c2	0x20d1
0x2509	0x2517
0x2567	0x2574
0x2800	0x280c
0x2c87	0x2c93
0x3662	0x366e
0x3dcc	0x3dd8
0x40f0	0x40fa
0x4b7f	0x4bb6
0x4d1b	0x4d52
0x10	0x1a
0x26d	0x279
0x151	0x15d
0xce	0xda
0x92	0x9e
0x115	0x121
0x1ea	0x1f6
0x1ae	0x1ba
0x231	0x23d
0x394	0x3a0
0x311	0x31d
0x2d5	0x2e1
0x358	0x364
0x422	0x42e
0x3e6	0x3f2
0x469	0x474
0x1654	0x166a
0x1717	0x172a
0x17c3	0x17e4
0x1bbe	0x1bca
0xa17	0xa2d
0xa31	0xa3f
0xa43	0xa60
0xa64	0xa7d
0xa81	0xa8f
0xa93	0xab0
0x1ea9	0x1ebd
0x203d	0x207e
0x22a6	0x22bd
0xd1d	0xd33
0xd37	0xd45
0xd49	0xd66
0x24b6	0x24cc
0x2b71	0x2b7d
0xea2	0xeb8
0xebc	0xeca
0xece	0xeeb
0x2c48	0x2c69
0x33ec	0x3404
0xe5	0xf0
0x181a	0x182e
0x183d	0x1842
0x1878	0x188c
0x1893	0x1898
0x1ecc	0x1ed1
0x1f07	0x1f13
0x1f17	0x1f1c
0x1f6f	0x1f85
0x1f86	0x1fe6
0x1fe7	0x2002
0x1f5b	0x1f64
0x208e	0x20ac
0x20b8	0x20c2
0x22cc	0x22d1
0x2307	0x231b
0x2322	0x2327
0x24de	0x24e9
0x41d4	0x4202
0x252e	0x253f
0x2500	0x2509
0x2575	0x259a
0x259b	0x25b3
0x25b4	0x25c6
0x25c7	0x2601
0x255e	0x2567
0x2792	0x27bc
0x27cc	0x27ea
0x282a	0x284c
0x27f6	0x2800
0x288c	0x28d4
0x78	0x83
0x28d8	0x28e3
0x28ec	0x28fe
0x2902	0x290c
0x294b	0x29a7
0x83	0x8e
0x29ab	0x29b6
0x29bf	0x29d1
0x2cb0	0x2cba
0x3c4b	0x3c6d
0x2cbb	0x2cc6
0x2c7e	0x2c87
0x35f4	0x361e
0x362e	0x364c
0x368c	0x36e3
0x3658	0x3662
0x36e7	0x36f2
0x36fb	0x370d
0x3711	0x371b
0x375a	0x37b6
0x37ba	0x37c5
0x37ce	0x37e0
0x3c76	0x3c9f
0x3d4e	0x3d88
0x3d98	0x3db6
0x403b	0x404a
0x3dd9	0x3e35
0x3e39	0x3e44
0x3e4d	0x3e5f
0x3e63	0x3e93
0x3ea8	0x3f25
0x3f29	0x3f34
0x3f3d	0x3f4f
0x3f53	0x3f61
0x3fe7	0x4001
0x3dc2	0x3dcc
0x4084	0x4091
0x4096	0x409e
0x40e5	0x40f0
0x40ba	0x40c3
0x4203	0x420e
0x420f	0x4239
0x4b73	0x4b7f
0x457f	0x45b1
0x45c7	0x45dc
0x45dd	0x45e3
0x45f7	0x45fe
0x4632	0x4638
0x46b5	0x46c0
0x46c1	0x46eb
0x4d12	0x4d1b
0x4d61	0x4d6a
0x519	0x52b
0x547	0x559
0x56f	0x581
0x5d5	0x5e7
0x623	0x635
0x671	0x683
0x690	0x6a2
